"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-113.73","61.92","INNER WHALEBACKS","2202560","2018-05-01 00:00","2018","05","01","00:00","","M","","M","81","","0.0","","7","","15","","","","98.99","","","","","","NA"
"-113.73","61.92","INNER WHALEBACKS","2202560","2018-05-01 01:00","2018","05","01","01:00","","M","","M","81","","0.0","","7","","16","","","","99.00","","","","","","NA"
"-113.73","61.92","INNER WHALEBACKS","2202560","2018-05-01 02:00","2018","05","01","02:00","","M","","M","82","","0.0","","7","","15","","","","99.03","","","","","","NA"
"-113.73","61.92","INNER WHALEBACKS","2202560","2018-05-01 03:00","2018","05","01","03:00","","M","","M","81","","0.0","","8","","19","","","","99.06","","","","","","NA"
"-113.73","61.92","INNER WHALEBACKS","2202560","2018-05-01 04:00","2018","05","01","04:00","","M","","M","81","","0.0","","7","","20","","","","99.08","","","","","","NA"
"-113.73","61.92","INNER WHALEBACKS","2202560","2018-05-01 05:00","2018","05","01","05:00","","M","","M","78","","0.0","","8","","24","","","","99.10","","","","","","NA"
"-113.73","61.92","INNER WHALEBACKS","2202560","2018-05-01 06:00","2018","05","01","06:00","","M","","M","80","","0.0","","8","","18","","","","99.13","","","","","","NA"
"-113.73","61.92","INNER WHALEBACKS","2202560","2018-05-01 07:00","2018","05","01","07:00","","M","","M","80","","0.0","","8","","18","","","","99.14","","","","","","NA"
"-113.73","61.92","INNER WHALEBACKS","2202560","2018-05-01 08:00","2018","05","01","08:00","","M","","M","79","","0.0","","10","","15","","","","99.12","","","","","","NA"
"-113.73","61.92","INNER WHALEBACKS","2202560","2018-05-01 09:00","2018","05","01","09:00","","M","","M","80","","0.0","","11","","13","","","","99.13","","","","","","NA"
"-113.73","61.92","INNER WHALEBACKS","2202560","2018-05-01 10:00","2018","05","01","10:00","","M","","M","80","","0.0","","12","","16","","","","99.15","","","","","","NA"
"-113.73","61.92","INNER WHALEBACKS","2202560","2018-05-01 11:00","2018","05","01","11:00","","M","","M","79","","0.0","","12","","13","","","","99.10","","","","","","NA"
"-113.73","61.92","INNER WHALEBACKS","2202560","2018-05-01 12:00","2018","05","01","12:00","","M","","M","79","","0.0","","13","","12","","","","99.09","","","","","","NA"
"-113.73","61.92","INNER WHALEBACKS","2202560","2018-05-01 13:00","2018","05","01","13:00","","M","","M","79","","0.0","","15","","12","","","","99.09","","","","","","NA"
"-113.73","61.92","INNER WHALEBACKS","2202560","2018-05-01 14:00","2018","05","01","14:00","","M","","M","82","","0.0","","16","","10","","","","99.04","","","","","","NA"
"-113.73","61.92","INNER WHALEBACKS","2202560","2018-05-01 15:00","2018","05","01","15:00","","M","","M","83","","0.0","","15","","8","","","","99.01","","","","","","NA"
"-113.73","61.92","INNER WHALEBACKS","2202560","2018-05-01 16:00","2018","05","01","16:00","","M","","M","86","","0.0","","10","","12","","","","98.93","","","","","","NA"
"-113.73","61.92","INNER WHALEBACKS","2202560","2018-05-01 17:00","2018","05","01","17:00","","M","","M","88","","0.0","","12","","19","","","","98.85","","","","","","NA"
"-113.73","61.92","INNER WHALEBACKS","2202560","2018-05-01 18:00","2018","05","01","18:00","","M","","M","82","","0.0","","11","","21","","","","98.79","","","","","","NA"
"-113.73","61.92","INNER WHALEBACKS","2202560","2018-05-01 19:00","2018","05","01","19:00","","M","","M","79","","0.0","","10","","21","","","","98.74","","","","","","NA"
"-113.73","61.92","INNER WHALEBACKS","2202560","2018-05-01 20:00","2018","05","01","20:00","","M","","M","78","","0.0","","11","","24","","","","98.65","","","","","","NA"
"-113.73","61.92","INNER WHALEBACKS","2202560","2018-05-01 21:00","2018","05","01","21:00","","M","","M","78","","0.0","","11","","25","","","","98.61","","","","","","NA"
"-113.73","61.92","INNER WHALEBACKS","2202560","2018-05-01 22:00","2018","05","01","22:00","","M","","M","80","","0.0","","11","","27","","","","98.53","","","","","","NA"
"-113.73","61.92","INNER WHALEBACKS","2202560","2018-05-01 23:00","2018","05","01","23:00","","M","","M","76","","0.0","","11","","25","","","","98.47","","","","","","NA"
"-113.73","61.92","INNER WHALEBACKS","2202560","2018-05-02 00:00","2018","05","02","00:00","","M","","M","82","","0.0","","13","","25","","","","98.40","","","","","","NA"
"-113.73","61.92","INNER WHALEBACKS","2202560","2018-05-02 01:00","2018","05","02","01:00","","M","","M","83","","0.0","","13","","24","","","","98.31","","","","","","NA"
"-113.73","61.92","INNER WHALEBACKS","2202560","2018-05-02 02:00","2018","05","02","02:00","","M","","M","82","","0.0","","13","","27","","","","98.20","","","","","","NA"
"-113.73","61.92","INNER WHALEBACKS","2202560","2018-05-02 03:00","2018","05","02","03:00","","M","","M","81","","0.0","","14","","28","","","","98.14","","","","","","NA"
"-113.73","61.92","INNER WHALEBACKS","2202560","2018-05-02 04:00","2018","05","02","04:00","","M","","M","82","","0.0","","15","","28","","","","98.08","","","","","","NA"
"-113.73","61.92","INNER WHALEBACKS","2202560","2018-05-02 05:00","2018","05","02","05:00","","M","","M","82","","0.0","","15","","28","","","","98.01","","","","","","NA"
"-113.73","61.92","INNER WHALEBACKS","2202560","2018-05-02 06:00","2018","05","02","06:00","","M","","M","85","","0.0","","14","","21","","","","97.97","","","","","","NA"
"-113.73","61.92","INNER WHALEBACKS","2202560","2018-05-02 07:00","2018","05","02","07:00","","M","","M","84","","0.0","","13","","12","","","","97.95","","","","","","NA"
"-113.73","61.92","INNER WHALEBACKS","2202560","2018-05-02 08:00","2018","05","02","08:00","","M","","M","68","","0.0","","15","","9","","","","97.96","","","","","","NA"
"-113.73","61.92","INNER WHALEBACKS","2202560","2018-05-02 09:00","2018","05","02","09:00","","M","","M","81","","0.0","","9","","12","","","","97.93","","","","","","NA"
"-113.73","61.92","INNER WHALEBACKS","2202560","2018-05-02 10:00","2018","05","02","10:00","","M","","M","84","","0.0","","12","","22","","","","97.87","","","","","","NA"
"-113.73","61.92","INNER WHALEBACKS","2202560","2018-05-02 11:00","2018","05","02","11:00","","M","","M","87","","0.0","","11","","15","","","","97.88","","","","","","NA"
"-113.73","61.92","INNER WHALEBACKS","2202560","2018-05-02 12:00","2018","05","02","12:00","","M","","M","83","","0.0","","13","","18","","","","97.92","","","","","","NA"
"-113.73","61.92","INNER WHALEBACKS","2202560","2018-05-02 13:00","2018","05","02","13:00","","M","","M","84","","0.0","","12","","15","","","","97.97","","","","","","NA"
"-113.73","61.92","INNER WHALEBACKS","2202560","2018-05-02 14:00","2018","05","02","14:00","","M","","M","87","","0.3","","8","","10","","","","98.02","","","","","","NA"
"-113.73","61.92","INNER WHALEBACKS","2202560","2018-05-02 15:00","2018","05","02","15:00","","M","","M","86","","0.0","","11","","13","","","","98.06","","","","","","NA"
"-113.73","61.92","INNER WHALEBACKS","2202560","2018-05-02 16:00","2018","05","02","16:00","","M","","M","90","","0.0","","12","","14","","","","98.12","","","","","","NA"
"-113.73","61.92","INNER WHALEBACKS","2202560","2018-05-02 17:00","2018","05","02","17:00","","M","","M","88","","0.0","","13","","9","","","","98.17","","","","","","NA"
"-113.73","61.92","INNER WHALEBACKS","2202560","2018-05-02 18:00","2018","05","02","18:00","","M","","M","88","","0.0","","13","","12","","","","98.18","","","","","","NA"
"-113.73","61.92","INNER WHALEBACKS","2202560","2018-05-02 19:00","2018","05","02","19:00","","M","","M","88","","0.0","","13","","6","","","","98.23","","","","","","NA"
"-113.73","61.92","INNER WHALEBACKS","2202560","2018-05-02 20:00","2018","05","02","20:00","","M","","M","90","","0.0","","12","","5","","","","98.28","","","","","","NA"
"-113.73","61.92","INNER WHALEBACKS","2202560","2018-05-02 21:00","2018","05","02","21:00","","M","","M","97","","0.0","","2","","3","","","","98.34","","","","","","NA"
"-113.73","61.92","INNER WHALEBACKS","2202560","2018-05-02 22:00","2018","05","02","22:00","","M","","M","97","","0.0","","36","","7","","","","98.38","","","","","","NA"
"-113.73","61.92","INNER WHALEBACKS","2202560","2018-05-02 23:00","2018","05","02","23:00","","M","","M","98","","0.0","","3","","12","","","","98.39","","","","","","NA"
"-113.73","61.92","INNER WHALEBACKS","2202560","2018-05-03 00:00","2018","05","03","00:00","","M","","M","98","","0.0","","3","","13","","","","98.42","","","","","","NA"
"-113.73","61.92","INNER WHALEBACKS","2202560","2018-05-03 01:00","2018","05","03","01:00","","M","","M","98","","0.0","","3","","12","","","","98.44","","","","","","NA"
"-113.73","61.92","INNER WHALEBACKS","2202560","2018-05-03 02:00","2018","05","03","02:00","","M","","M","88","","0.0","","5","","16","","","","98.47","","","","","","NA"
"-113.73","61.92","INNER WHALEBACKS","2202560","2018-05-03 03:00","2018","05","03","03:00","","M","","M","89","","0.0","","5","","14","","","","98.50","","","","","","NA"
"-113.73","61.92","INNER WHALEBACKS","2202560","2018-05-03 04:00","2018","05","03","04:00","","M","","M","86","","0.0","","6","","17","","","","98.53","","","","","","NA"
"-113.73","61.92","INNER WHALEBACKS","2202560","2018-05-03 05:00","2018","05","03","05:00","","M","","M","85","","0.0","","6","","16","","","","98.57","","","","","","NA"
"-113.73","61.92","INNER WHALEBACKS","2202560","2018-05-03 06:00","2018","05","03","06:00","","M","","M","86","","0.0","","3","","20","","","","98.59","","","","","","NA"
"-113.73","61.92","INNER WHALEBACKS","2202560","2018-05-03 07:00","2018","05","03","07:00","","M","","M","84","","0.0","","4","","20","","","","98.62","","","","","","NA"
"-113.73","61.92","INNER WHALEBACKS","2202560","2018-05-03 08:00","2018","05","03","08:00","","M","","M","81","","0.0","","3","","22","","","","98.67","","","","","","NA"
"-113.73","61.92","INNER WHALEBACKS","2202560","2018-05-03 09:00","2018","05","03","09:00","","M","","M","79","","0.0","","1","","21","","","","98.79","","","","","","NA"
"-113.73","61.92","INNER WHALEBACKS","2202560","2018-05-03 10:00","2018","05","03","10:00","","M","","M","88","","0.0","","7","","15","","","","98.88","","","","","","NA"
"-113.73","61.92","INNER WHALEBACKS","2202560","2018-05-03 11:00","2018","05","03","11:00","","M","","M","84","","0.0","","35","","10","","","","98.93","","","","","","NA"
"-113.73","61.92","INNER WHALEBACKS","2202560","2018-05-03 12:00","2018","05","03","12:00","","M","","M","75","","0.0","","31","","11","","","","98.97","","","","","","NA"
"-113.73","61.92","INNER WHALEBACKS","2202560","2018-05-03 13:00","2018","05","03","13:00","","M","","M","76","","0.0","","32","","17","","","","99.04","","","","","","NA"
"-113.73","61.92","INNER WHALEBACKS","2202560","2018-05-03 14:00","2018","05","03","14:00","","M","","M","85","","0.0","","32","","20","","","","99.13","","","","","","NA"
"-113.73","61.92","INNER WHALEBACKS","2202560","2018-05-03 15:00","2018","05","03","15:00","","M","","M","90","","0.0","","32","","23","","","","99.19","","","","","","NA"
"-113.73","61.92","INNER WHALEBACKS","2202560","2018-05-03 16:00","2018","05","03","16:00","","M","","M","85","","0.0","","32","","22","","","","99.28","","","","","","NA"
"-113.73","61.92","INNER WHALEBACKS","2202560","2018-05-03 17:00","2018","05","03","17:00","","M","","M","80","","0.0","","30","","17","","","","99.34","","","","","","NA"
"-113.73","61.92","INNER WHALEBACKS","2202560","2018-05-03 18:00","2018","05","03","18:00","","M","","M","79","","0.0","","31","","20","","","","99.33","","","","","","NA"
"-113.73","61.92","INNER WHALEBACKS","2202560","2018-05-03 19:00","2018","05","03","19:00","","M","","M","85","","0.0","","28","","17","","","","99.34","","","","","","NA"
"-113.73","61.92","INNER WHALEBACKS","2202560","2018-05-03 20:00","2018","05","03","20:00","","M","","M","87","","0.0","","30","","20","","","","99.34","","","","","","NA"
"-113.73","61.92","INNER WHALEBACKS","2202560","2018-05-03 21:00","2018","05","03","21:00","","M","","M","89","","0.0","","31","","18","","","","99.36","","","","","","NA"
"-113.73","61.92","INNER WHALEBACKS","2202560","2018-05-03 22:00","2018","05","03","22:00","","M","","M","80","","0.0","","11","","23","","","","99.40","","","","","","NA"
"-113.73","61.92","INNER WHALEBACKS","2202560","2018-05-03 23:00","2018","05","03","23:00","","M","","M","82","","0.0","","10","","27","","","","99.42","","","","","","NA"
"-113.73","61.92","INNER WHALEBACKS","2202560","2018-05-04 00:00","2018","05","04","00:00","","M","","M","83","","0.0","","10","","23","","","","99.43","","","","","","NA"
"-113.73","61.92","INNER WHALEBACKS","2202560","2018-05-04 01:00","2018","05","04","01:00","","M","","M","87","","0.0","","9","","18","","","","99.45","","","","","","NA"
"-113.73","61.92","INNER WHALEBACKS","2202560","2018-05-04 02:00","2018","05","04","02:00","","M","","M","86","","0.0","","8","","20","","","","99.46","","","","","","NA"
"-113.73","61.92","INNER WHALEBACKS","2202560","2018-05-04 03:00","2018","05","04","03:00","","M","","M","86","","0.0","","7","","25","","","","99.47","","","","","","NA"
"-113.73","61.92","INNER WHALEBACKS","2202560","2018-05-04 04:00","2018","05","04","04:00","","M","","M","85","","0.0","","9","","25","","","","99.50","","","","","","NA"
"-113.73","61.92","INNER WHALEBACKS","2202560","2018-05-04 05:00","2018","05","04","05:00","","M","","M","85","","0.0","","8","","22","","","","99.49","","","","","","NA"
"-113.73","61.92","INNER WHALEBACKS","2202560","2018-05-04 06:00","2018","05","04","06:00","","M","","M","85","","0.0","","9","","19","","","","99.50","","","","","","NA"
"-113.73","61.92","INNER WHALEBACKS","2202560","2018-05-04 07:00","2018","05","04","07:00","","M","","M","85","","0.0","","9","","23","","","","99.51","","","","","","NA"
"-113.73","61.92","INNER WHALEBACKS","2202560","2018-05-04 08:00","2018","05","04","08:00","","M","","M","83","","0.0","","10","","23","","","","99.46","","","","","","NA"
"-113.73","61.92","INNER WHALEBACKS","2202560","2018-05-04 09:00","2018","05","04","09:00","","M","","M","84","","0.0","","9","","23","","","","99.42","","","","","","NA"
"-113.73","61.92","INNER WHALEBACKS","2202560","2018-05-04 10:00","2018","05","04","10:00","","M","","M","83","","0.0","","8","","25","","","","99.38","","","","","","NA"
"-113.73","61.92","INNER WHALEBACKS","2202560","2018-05-04 11:00","2018","05","04","11:00","","M","","M","85","","0.0","","8","","22","","","","99.36","","","","","","NA"
"-113.73","61.92","INNER WHALEBACKS","2202560","2018-05-04 12:00","2018","05","04","12:00","","M","","M","82","","0.0","","8","","26","","","","99.31","","","","","","NA"
"-113.73","61.92","INNER WHALEBACKS","2202560","2018-05-04 13:00","2018","05","04","13:00","","M","","M","85","","0.0","","8","","25","","","","99.26","","","","","","NA"
"-113.73","61.92","INNER WHALEBACKS","2202560","2018-05-04 14:00","2018","05","04","14:00","","M","","M","81","","0.0","","8","","27","","","","99.25","","","","","","NA"
"-113.73","61.92","INNER WHALEBACKS","2202560","2018-05-04 15:00","2018","05","04","15:00","","M","","M","92","","0.3","","8","","26","","","","99.24","","","","","","NA"
"-113.73","61.92","INNER WHALEBACKS","2202560","2018-05-04 16:00","2018","05","04","16:00","","M","","M","92","","0.8","","8","","31","","","","99.22","","","","","","NA"
"-113.73","61.92","INNER WHALEBACKS","2202560","2018-05-04 17:00","2018","05","04","17:00","","M","","M","93","","0.3","","7","","33","","","","99.21","","","","","","NA"
"-113.73","61.92","INNER WHALEBACKS","2202560","2018-05-04 18:00","2018","05","04","18:00","","M","","M","91","","0.2","","8","","32","","","","99.23","","","","","","NA"
"-113.73","61.92","INNER WHALEBACKS","2202560","2018-05-04 19:00","2018","05","04","19:00","","M","","M","91","","0.0","","8","","28","","","","99.21","","","","","","NA"
"-113.73","61.92","INNER WHALEBACKS","2202560","2018-05-04 20:00","2018","05","04","20:00","","M","","M","82","","0.0","","8","","27","","","","99.24","","","","","","NA"
"-113.73","61.92","INNER WHALEBACKS","2202560","2018-05-04 21:00","2018","05","04","21:00","","M","","M","82","","0.0","","7","","25","","","","99.28","","","","","","NA"
"-113.73","61.92","INNER WHALEBACKS","2202560","2018-05-04 22:00","2018","05","04","22:00","","M","","M","85","","0.0","","7","","18","","","","99.31","","","","","","NA"
"-113.73","61.92","INNER WHALEBACKS","2202560","2018-05-04 23:00","2018","05","04","23:00","","M","","M","85","","0.0","","6","","17","","","","99.34","","","","","","NA"
"-113.73","61.92","INNER WHALEBACKS","2202560","2018-05-05 00:00","2018","05","05","00:00","","M","","M","82","","0.0","","9","","13","","","","99.34","","","","","","NA"
"-113.73","61.92","INNER WHALEBACKS","2202560","2018-05-05 01:00","2018","05","05","01:00","","M","","M","79","","0.0","","9","","16","","","","99.33","","","","","","NA"
"-113.73","61.92","INNER WHALEBACKS","2202560","2018-05-05 02:00","2018","05","05","02:00","","M","","M","81","","0.0","","9","","17","","","","99.31","","","","","","NA"
"-113.73","61.92","INNER WHALEBACKS","2202560","2018-05-05 03:00","2018","05","05","03:00","","M","","M","84","","0.0","","10","","15","","","","99.34","","","","","","NA"
"-113.73","61.92","INNER WHALEBACKS","2202560","2018-05-05 04:00","2018","05","05","04:00","","M","","M","88","","0.0","","9","","10","","","","99.40","","","","","","NA"
"-113.73","61.92","INNER WHALEBACKS","2202560","2018-05-05 05:00","2018","05","05","05:00","","M","","M","82","","0.0","","12","","17","","","","99.37","","","","","","NA"
"-113.73","61.92","INNER WHALEBACKS","2202560","2018-05-05 06:00","2018","05","05","06:00","","M","","M","86","","0.0","","10","","18","","","","99.35","","","","","","NA"
"-113.73","61.92","INNER WHALEBACKS","2202560","2018-05-05 07:00","2018","05","05","07:00","","M","","M","90","","0.0","","11","","20","","","","99.31","","","","","","NA"
"-113.73","61.92","INNER WHALEBACKS","2202560","2018-05-05 08:00","2018","05","05","08:00","","M","","M","96","","0.0","","12","","20","","","","99.32","","","","","","NA"
"-113.73","61.92","INNER WHALEBACKS","2202560","2018-05-05 09:00","2018","05","05","09:00","","M","","M","95","","0.2","","13","","26","","","","99.25","","","","","","NA"
"-113.73","61.92","INNER WHALEBACKS","2202560","2018-05-05 10:00","2018","05","05","10:00","","M","","M","96","","0.0","","12","","31","","","","99.21","","","","","","NA"
"-113.73","61.92","INNER WHALEBACKS","2202560","2018-05-05 11:00","2018","05","05","11:00","","M","","M","96","","0.0","","12","","34","","","","99.17","","","","","","NA"
"-113.73","61.92","INNER WHALEBACKS","2202560","2018-05-05 12:00","2018","05","05","12:00","","M","","M","96","","0.0","","13","","34","","","","99.12","","","","","","NA"
"-113.73","61.92","INNER WHALEBACKS","2202560","2018-05-05 13:00","2018","05","05","13:00","","M","","M","95","","0.0","","12","","30","","","","99.03","","","","","","NA"
"-113.73","61.92","INNER WHALEBACKS","2202560","2018-05-05 14:00","2018","05","05","14:00","","M","","M","91","","0.0","","11","","29","","","","98.92","","","","","","NA"
"-113.73","61.92","INNER WHALEBACKS","2202560","2018-05-05 15:00","2018","05","05","15:00","","M","","M","88","","0.0","","12","","27","","","","98.88","","","","","","NA"
"-113.73","61.92","INNER WHALEBACKS","2202560","2018-05-05 16:00","2018","05","05","16:00","","M","","M","87","","0.0","","12","","22","","","","98.82","","","","","","NA"
"-113.73","61.92","INNER WHALEBACKS","2202560","2018-05-05 17:00","2018","05","05","17:00","","M","","M","88","","0.0","","13","","21","","","","98.73","","","","","","NA"
"-113.73","61.92","INNER WHALEBACKS","2202560","2018-05-05 18:00","2018","05","05","18:00","","M","","M","88","","0.0","","13","","19","","","","98.64","","","","","","NA"
"-113.73","61.92","INNER WHALEBACKS","2202560","2018-05-05 19:00","2018","05","05","19:00","","M","","M","85","","0.0","","16","","16","","","","98.55","","","","","","NA"
"-113.73","61.92","INNER WHALEBACKS","2202560","2018-05-05 20:00","2018","05","05","20:00","","M","","M","82","","0.0","","17","","29","","","","98.46","","","","","","NA"
"-113.73","61.92","INNER WHALEBACKS","2202560","2018-05-05 21:00","2018","05","05","21:00","","M","","M","80","","0.0","","17","","27","","","","98.41","","","","","","NA"
"-113.73","61.92","INNER WHALEBACKS","2202560","2018-05-05 22:00","2018","05","05","22:00","","M","","M","85","","0.0","","17","","16","","","","98.33","","","","","","NA"
"-113.73","61.92","INNER WHALEBACKS","2202560","2018-05-05 23:00","2018","05","05","23:00","","M","","M","83","","0.0","","23","","22","","","","98.30","","","","","","NA"
