"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-70.53","47.07","ILE AUX GRUES","701LBPH","2020-03-01 00:00","2020","03","01","00:00","","","","","","","","","21","","31","","","","","","","","","","NA"
"-70.53","47.07","ILE AUX GRUES","701LBPH","2020-03-01 01:00","2020","03","01","01:00","","","","","","","","","21","","29","","","","","","","","","","NA"
"-70.53","47.07","ILE AUX GRUES","701LBPH","2020-03-01 02:00","2020","03","01","02:00","","","","","","","","","21","","31","","","","","","","","","","NA"
"-70.53","47.07","ILE AUX GRUES","701LBPH","2020-03-01 03:00","2020","03","01","03:00","","","","","","","","","21","","29","","","","","","","","","","NA"
"-70.53","47.07","ILE AUX GRUES","701LBPH","2020-03-01 04:00","2020","03","01","04:00","","","","","","","","","21","","27","","","","","","","","","","NA"
"-70.53","47.07","ILE AUX GRUES","701LBPH","2020-03-01 05:00","2020","03","01","05:00","","","","","","","","","22","","26","","","","","","","","","","NA"
"-70.53","47.07","ILE AUX GRUES","701LBPH","2020-03-01 06:00","2020","03","01","06:00","","","","","","","","","22","","23","","","","","","","","","","NA"
"-70.53","47.07","ILE AUX GRUES","701LBPH","2020-03-01 07:00","2020","03","01","07:00","","","","","","","","","21","","28","","","","","","","","","","NA"
"-70.53","47.07","ILE AUX GRUES","701LBPH","2020-03-01 08:00","2020","03","01","08:00","","","","","","","","","20","","26","","","","","","","","","","NA"
"-70.53","47.07","ILE AUX GRUES","701LBPH","2020-03-01 09:00","2020","03","01","09:00","","","","","","","","","21","","29","","","","","","","","","","NA"
"-70.53","47.07","ILE AUX GRUES","701LBPH","2020-03-01 10:00","2020","03","01","10:00","","","","","","","","","20","","28","","","","","","","","","","NA"
"-70.53","47.07","ILE AUX GRUES","701LBPH","2020-03-01 11:00","2020","03","01","11:00","","","","","","","","","21","","24","","","","","","","","","","NA"
"-70.53","47.07","ILE AUX GRUES","701LBPH","2020-03-01 12:00","2020","03","01","12:00","","","","","","","","","21","","26","","","","","","","","","","NA"
"-70.53","47.07","ILE AUX GRUES","701LBPH","2020-03-01 13:00","2020","03","01","13:00","","","","","","","","","21","","27","","","","","","","","","","NA"
"-70.53","47.07","ILE AUX GRUES","701LBPH","2020-03-01 14:00","2020","03","01","14:00","","","","","","","","","22","","28","","","","","","","","","","NA"
"-70.53","47.07","ILE AUX GRUES","701LBPH","2020-03-01 15:00","2020","03","01","15:00","","","","","","","","","22","","23","","","","","","","","","","NA"
"-70.53","47.07","ILE AUX GRUES","701LBPH","2020-03-01 16:00","2020","03","01","16:00","","","","","","","","","20","","22","","","","","","","","","","NA"
"-70.53","47.07","ILE AUX GRUES","701LBPH","2020-03-01 17:00","2020","03","01","17:00","","","","","","","","","20","","23","","","","","","","","","","NA"
"-70.53","47.07","ILE AUX GRUES","701LBPH","2020-03-01 18:00","2020","03","01","18:00","","","","","","","","","21","","23","","","","","","","","","","NA"
"-70.53","47.07","ILE AUX GRUES","701LBPH","2020-03-01 19:00","2020","03","01","19:00","","","","","","","","","21","","30","","","","","","","","","","NA"
"-70.53","47.07","ILE AUX GRUES","701LBPH","2020-03-01 20:00","2020","03","01","20:00","","","","","","","","","20","","25","","","","","","","","","","NA"
"-70.53","47.07","ILE AUX GRUES","701LBPH","2020-03-01 21:00","2020","03","01","21:00","","","","","","","","","20","","29","","","","","","","","","","NA"
"-70.53","47.07","ILE AUX GRUES","701LBPH","2020-03-01 22:00","2020","03","01","22:00","","","","","","","","","20","","30","","","","","","","","","","NA"
"-70.53","47.07","ILE AUX GRUES","701LBPH","2020-03-01 23:00","2020","03","01","23:00","","","","","","","","","21","","27","","","","","","","","","","NA"
"-70.53","47.07","ILE AUX GRUES","701LBPH","2020-03-02 00:00","2020","03","02","00:00","","","","","","","","","21","","28","","","","","","","","","","NA"
"-70.53","47.07","ILE AUX GRUES","701LBPH","2020-03-02 01:00","2020","03","02","01:00","","","","","","","","","20","","31","","","","","","","","","","NA"
"-70.53","47.07","ILE AUX GRUES","701LBPH","2020-03-02 02:00","2020","03","02","02:00","","","","","","","","","21","","27","","","","","","","","","","NA"
"-70.53","47.07","ILE AUX GRUES","701LBPH","2020-03-02 03:00","2020","03","02","03:00","","","","","","","","","19","","24","","","","","","","","","","NA"
"-70.53","47.07","ILE AUX GRUES","701LBPH","2020-03-02 04:00","2020","03","02","04:00","","","","","","","","","20","","16","","","","","","","","","","NA"
"-70.53","47.07","ILE AUX GRUES","701LBPH","2020-03-02 05:00","2020","03","02","05:00","","","","","","","","","20","","13","","","","","","","","","","NA"
"-70.53","47.07","ILE AUX GRUES","701LBPH","2020-03-02 06:00","2020","03","02","06:00","","","","","","","","","21","","15","","","","","","","","","","NA"
"-70.53","47.07","ILE AUX GRUES","701LBPH","2020-03-02 07:00","2020","03","02","07:00","","","","","","","","","19","","10","","","","","","","","","","NA"
"-70.53","47.07","ILE AUX GRUES","701LBPH","2020-03-02 08:00","2020","03","02","08:00","","","","","","","","","18","","10","","","","","","","","","","NA"
"-70.53","47.07","ILE AUX GRUES","701LBPH","2020-03-02 09:00","2020","03","02","09:00","","","","","","","","","14","","4","","","","","","","","","","NA"
"-70.53","47.07","ILE AUX GRUES","701LBPH","2020-03-02 10:00","2020","03","02","10:00","","","","","","","","","6","","9","","","","","","","","","","NA"
"-70.53","47.07","ILE AUX GRUES","701LBPH","2020-03-02 11:00","2020","03","02","11:00","","","","","","","","","3","","10","","","","","","","","","","NA"
"-70.53","47.07","ILE AUX GRUES","701LBPH","2020-03-02 12:00","2020","03","02","12:00","","","","","","","","","36","","6","","","","","","","","","","NA"
"-70.53","47.07","ILE AUX GRUES","701LBPH","2020-03-02 13:00","2020","03","02","13:00","","","","","","","","","35","","7","","","","","","","","","","NA"
"-70.53","47.07","ILE AUX GRUES","701LBPH","2020-03-02 14:00","2020","03","02","14:00","","","","","","","","","2","","5","","","","","","","","","","NA"
"-70.53","47.07","ILE AUX GRUES","701LBPH","2020-03-02 15:00","2020","03","02","15:00","","","","","","","","","4","","7","","","","","","","","","","NA"
"-70.53","47.07","ILE AUX GRUES","701LBPH","2020-03-02 16:00","2020","03","02","16:00","","","","","","","","","3","","8","","","","","","","","","","NA"
"-70.53","47.07","ILE AUX GRUES","701LBPH","2020-03-02 17:00","2020","03","02","17:00","","","","","","","","","1","","9","","","","","","","","","","NA"
"-70.53","47.07","ILE AUX GRUES","701LBPH","2020-03-02 18:00","2020","03","02","18:00","","","","","","","","","0","","1","","","","","","","","","","NA"
"-70.53","47.07","ILE AUX GRUES","701LBPH","2020-03-02 19:00","2020","03","02","19:00","","","","","","","","","15","","2","","","","","","","","","","NA"
"-70.53","47.07","ILE AUX GRUES","701LBPH","2020-03-02 20:00","2020","03","02","20:00","","","","","","","","","0","","1","","","","","","","","","","NA"
"-70.53","47.07","ILE AUX GRUES","701LBPH","2020-03-02 21:00","2020","03","02","21:00","","","","","","","","","17","","7","","","","","","","","","","NA"
"-70.53","47.07","ILE AUX GRUES","701LBPH","2020-03-02 22:00","2020","03","02","22:00","","","","","","","","","17","","4","","","","","","","","","","NA"
