"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-71.72","48.60","MISTOOK","7065012","2018-08-01 00:00","2018","08","01","00:00","21.1","","16.5","","75","","","","20","","13","","","","100.21","","26","","","","NA"
"-71.72","48.60","MISTOOK","7065012","2018-08-01 01:00","2018","08","01","01:00","19.5","","16.5","","83","","","","18","","12","","","","100.19","","","","","","NA"
"-71.72","48.60","MISTOOK","7065012","2018-08-01 02:00","2018","08","01","02:00","18.6","","16.0","","85","","","","18","","8","","","","100.20","","","","","","NA"
"-71.72","48.60","MISTOOK","7065012","2018-08-01 03:00","2018","08","01","03:00","17.4","","15.4","","88","","","","19","","3","","","","100.24","","","","","","NA"
"-71.72","48.60","MISTOOK","7065012","2018-08-01 04:00","2018","08","01","04:00","15.8","","14.5","","92","","","","11","","5","","","","100.30","","","","","","NA"
"-71.72","48.60","MISTOOK","7065012","2018-08-01 05:00","2018","08","01","05:00","16.6","","15.1","","91","","","","11","","6","","","","100.25","","","","","","NA"
"-71.72","48.60","MISTOOK","7065012","2018-08-01 06:00","2018","08","01","06:00","18.7","","16.9","","89","","","","11","","7","","","","100.27","","","","","","NA"
"-71.72","48.60","MISTOOK","7065012","2018-08-01 07:00","2018","08","01","07:00","21.7","","17.7","","78","","","","15","","4","","","","100.29","","27","","","","NA"
"-71.72","48.60","MISTOOK","7065012","2018-08-01 08:00","2018","08","01","08:00","23.9","","18.3","","71","","","","13","","4","","","","100.28","","30","","","","NA"
"-71.72","48.60","MISTOOK","7065012","2018-08-01 09:00","2018","08","01","09:00","25.0","","18.0","","65","","","","19","","8","","","","100.23","","31","","","","NA"
"-71.72","48.60","MISTOOK","7065012","2018-08-01 10:00","2018","08","01","10:00","24.4","","17.9","","67","","","","18","","10","","","","100.20","","30","","","","NA"
"-71.72","48.60","MISTOOK","7065012","2018-08-01 11:00","2018","08","01","11:00","22.4","","18.0","","76","","","","21","","13","","","","100.20","","28","","","","NA"
"-71.72","48.60","MISTOOK","7065012","2018-08-01 12:00","2018","08","01","12:00","20.3","","19.1","","93","","","","27","","4","","","","100.16","","27","","","","NA"
"-71.72","48.60","MISTOOK","7065012","2018-08-01 13:00","2018","08","01","13:00","21.5","","19.2","","87","","","","2","","5","","","","100.09","","28","","","","NA"
"-71.72","48.60","MISTOOK","7065012","2018-08-01 14:00","2018","08","01","14:00","21.4","","19.5","","89","","","","3","","6","","","","100.07","","29","","","","NA"
"-71.72","48.60","MISTOOK","7065012","2018-08-01 15:00","2018","08","01","15:00","20.5","","19.7","","95","","","","5","","6","","","","99.97","","28","","","","NA"
"-71.72","48.60","MISTOOK","7065012","2018-08-01 16:00","2018","08","01","16:00","19.9","","18.9","","94","","","","4","","12","","","","99.89","","","","","","NA"
"-71.72","48.60","MISTOOK","7065012","2018-08-01 17:00","2018","08","01","17:00","19.9","","18.9","","94","","","","8","","13","","","","99.78","","","","","","NA"
"-71.72","48.60","MISTOOK","7065012","2018-08-01 18:00","2018","08","01","18:00","20.2","","19.0","","93","","","","18","","8","","","","99.71","","27","","","","NA"
"-71.72","48.60","MISTOOK","7065012","2018-08-01 19:00","2018","08","01","19:00","20.4","","19.4","","94","","","","22","","6","","","","99.75","","27","","","","NA"
"-71.72","48.60","MISTOOK","7065012","2018-08-01 20:00","2018","08","01","20:00","19.6","","18.8","","95","","","","3","","7","","","","99.72","","","","","","NA"
"-71.72","48.60","MISTOOK","7065012","2018-08-01 21:00","2018","08","01","21:00","19.7","","18.9","","95","","","","31","","4","","","","99.76","","","","","","NA"
"-71.72","48.60","MISTOOK","7065012","2018-08-01 22:00","2018","08","01","22:00","19.3","","18.8","","97","","","","","","0","","","","99.72","","","","","","NA"
"-71.72","48.60","MISTOOK","7065012","2018-08-01 23:00","2018","08","01","23:00","19.4","","19.1","","98","","","","19","","7","","","","99.72","","","","","","NA"
"-71.72","48.60","MISTOOK","7065012","2018-08-02 00:00","2018","08","02","00:00","19.2","","18.9","","98","","","","17","","7","","","","99.70","","","","","","NA"
"-71.72","48.60","MISTOOK","7065012","2018-08-02 01:00","2018","08","02","01:00","19.1","","18.8","","98","","","","17","","11","","","","99.65","","","","","","NA"
"-71.72","48.60","MISTOOK","7065012","2018-08-02 02:00","2018","08","02","02:00","19.0","","18.7","","98","","","","17","","7","","","","99.59","","","","","","NA"
"-71.72","48.60","MISTOOK","7065012","2018-08-02 03:00","2018","08","02","03:00","18.8","","18.5","","98","","","","17","","5","","","","99.59","","","","","","NA"
"-71.72","48.60","MISTOOK","7065012","2018-08-02 04:00","2018","08","02","04:00","18.7","","18.4","","98","","","","16","","4","","","","99.58","","","","","","NA"
"-71.72","48.60","MISTOOK","7065012","2018-08-02 05:00","2018","08","02","05:00","18.7","","18.5","","99","","","","19","","5","","","","99.58","","","","","","NA"
"-71.72","48.60","MISTOOK","7065012","2018-08-02 06:00","2018","08","02","06:00","19.1","","18.8","","98","","","","0","","1","","","","99.54","","","","","","NA"
"-71.72","48.60","MISTOOK","7065012","2018-08-02 07:00","2018","08","02","07:00","19.1","","18.8","","98","","","","25","","5","","","","99.57","","","","","","NA"
"-71.72","48.60","MISTOOK","7065012","2018-08-02 08:00","2018","08","02","08:00","18.3","","17.8","","97","","","","34","","25","","","","99.65","","","","","","NA"
"-71.72","48.60","MISTOOK","7065012","2018-08-02 09:00","2018","08","02","09:00","19.6","","17.7","","89","","","","1","","14","","","","99.69","","","","","","NA"
