"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2023-01-01 00:30","2023","01","01","00:30","2.8","","2.5","","98","","0.0","","24","","19","","","","99.33","","","","","","NA"
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2023-01-01 01:30","2023","01","01","01:30","3.0","","2.7","","98","","0.0","","28","","10","","","","99.37","","","","","","NA"
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2023-01-01 02:30","2023","01","01","02:30","2.8","","2.4","","98","","0.0","","27","","8","","","","99.40","","","","","","NA"
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2023-01-01 03:30","2023","01","01","03:30","2.7","","2.3","","97","","0.0","","25","","8","","","","99.37","","","","","","NA"
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2023-01-01 04:30","2023","01","01","04:30","2.2","","1.9","","98","","0.0","","23","","4","","","","99.31","","","","","","NA"
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2023-01-01 05:30","2023","01","01","05:30","2.1","","1.9","","98","","0.0","","22","","10","","","","99.22","","","","","","NA"
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2023-01-01 06:30","2023","01","01","06:30","2.2","","2.0","","98","","0.0","","23","","12","","","","99.22","","","","","","NA"
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2023-01-01 07:30","2023","01","01","07:30","2.1","","1.9","","98","","0.0","","22","","9","","","","99.23","","","","","","NA"
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2023-01-01 08:30","2023","01","01","08:30","2.4","","2.2","","99","","0.0","","23","","6","","","","99.21","","","","","","NA"
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2023-01-01 09:30","2023","01","01","09:30","2.6","","2.5","","99","","0.0","","24","","13","","","","99.14","","","","","","NA"
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2023-01-01 10:30","2023","01","01","10:30","2.9","","2.7","","99","","0.0","","29","","4","","","","99.15","","","","","","NA"
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2023-01-01 11:30","2023","01","01","11:30","3.3","","3.0","","99","","0.0","","21","","3","","","","98.99","","","","","","NA"
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2023-01-01 12:30","2023","01","01","12:30","3.7","","3.5","","99","","0.0","","","","0","","","","98.89","","","","","","NA"
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2023-01-01 13:30","2023","01","01","13:30","3.0","","2.7","","98","","0.0","","5","","2","","","","98.75","","","","","","NA"
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2023-01-01 14:30","2023","01","01","14:30","2.6","","2.4","","99","","0.6","","5","","3","","","","98.63","","","","","","NA"
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2023-01-01 15:30","2023","01","01","15:30","2.1","","1.9","","99","","0.8","","7","","5","","","","98.55","","","","","","NA"
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2023-01-01 16:30","2023","01","01","16:30","1.6","","1.5","","99","","1.7","","6","","7","","","","98.35","","","","","","NA"
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2023-01-01 17:30","2023","01","01","17:30","1.3","","1.2","","99","","2.2","","7","","9","","","","98.25","","","","","","NA"
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2023-01-01 18:30","2023","01","01","18:30","1.3","","1.2","","100","","0.0","","5","","7","","","","98.10","","","","","","NA"
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2023-01-01 19:30","2023","01","01","19:30","1.0","","0.9","","100","","3.1","","6","","8","","","","98.03","","","","","","NA"
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2023-01-01 20:30","2023","01","01","20:30","0.7","","0.7","","100","","0.0","","7","","9","","","","97.95","","","","","","NA"
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2023-01-01 21:30","2023","01","01","21:30","0.3","","0.3","","100","","0.8","","4","","8","","","","97.89","","","","","","NA"
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2023-01-01 22:30","2023","01","01","22:30","-0.5","","-0.5","","100","","1.9","","3","","9","","","","97.78","","","","-4","","NA"
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2023-01-01 23:30","2023","01","01","23:30","-0.5","","-0.5","","100","","1.8","","3","","9","","","","97.73","","","","-4","","NA"
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2023-01-02 00:30","2023","01","02","00:30","-0.6","","-0.6","","100","","0.7","","2","","13","","","","97.64","","","","-5","","NA"
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2023-01-02 01:30","2023","01","02","01:30","-0.6","","-0.6","","100","","1.6","","1","","16","","","","97.68","","","","-5","","NA"
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2023-01-02 02:30","2023","01","02","02:30","-0.7","","-0.7","","100","","0.0","","1","","15","","","","97.74","","","","-5","","NA"
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2023-01-02 03:30","2023","01","02","03:30","-0.7","","-0.7","","100","","0.0","","2","","17","","","","97.78","","","","-6","","NA"
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2023-01-02 04:30","2023","01","02","04:30","-0.8","","-0.8","","100","","0.0","","1","","16","","","","97.83","","","","-6","","NA"
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2023-01-02 05:30","2023","01","02","05:30","-1.0","","-1.0","","100","","0.7","","1","","13","","","","98.00","","","","-5","","NA"
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2023-01-02 06:30","2023","01","02","06:30","-1.3","","-1.3","","100","","0.0","","36","","14","","","","98.15","","","","-6","","NA"
