"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-121.93","50.68","LILLOOET","1114619","2018-07-01 00:00","2018","07","01","00:00","17.0","","7.6","","54","","","M","","M","","M","","","98.76","","","","","","NA"
"-121.93","50.68","LILLOOET","1114619","2018-07-01 01:00","2018","07","01","01:00","16.9","","8.1","","56","","","M","","M","","M","","","98.80","","","","","","NA"
"-121.93","50.68","LILLOOET","1114619","2018-07-01 02:00","2018","07","01","02:00","16.0","","8.1","","60","","","M","","M","","M","","","98.81","","","","","","NA"
"-121.93","50.68","LILLOOET","1114619","2018-07-01 03:00","2018","07","01","03:00","14.5","","7.7","","64","","","M","","M","","M","","","98.81","","","","","","NA"
"-121.93","50.68","LILLOOET","1114619","2018-07-01 04:00","2018","07","01","04:00","13.3","","7.7","","69","","","M","","M","","M","","","98.83","","","","","","NA"
"-121.93","50.68","LILLOOET","1114619","2018-07-01 05:00","2018","07","01","05:00","13.3","","7.8","","69","","","M","","M","","M","","","98.84","","","","","","NA"
"-121.93","50.68","LILLOOET","1114619","2018-07-01 06:00","2018","07","01","06:00","14.0","","8.2","","68","","","M","","M","","M","","","98.86","","","","","","NA"
"-121.93","50.68","LILLOOET","1114619","2018-07-01 07:00","2018","07","01","07:00","15.1","","8.9","","67","","","M","","M","","M","","","98.86","","","","","","NA"
"-121.93","50.68","LILLOOET","1114619","2018-07-01 08:00","2018","07","01","08:00","17.1","","9.0","","59","","","M","","M","","M","","","98.82","","","","","","NA"
"-121.93","50.68","LILLOOET","1114619","2018-07-01 09:00","2018","07","01","09:00","19.0","","9.5","","54","","","M","","M","","M","","","98.79","","","","","","NA"
"-121.93","50.68","LILLOOET","1114619","2018-07-01 10:00","2018","07","01","10:00","21.4","","8.8","","45","","","M","","M","","M","","","98.72","","","","","","NA"
