"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-72.06","46.30","LEMIEUX","701Q009","2019-11-01 00:00","2019","11","01","00:00","6.2","","5.7","","97","","3.3","","4","","17","","","","98.05","","","","","","NA"
"-72.06","46.30","LEMIEUX","701Q009","2019-11-01 01:00","2019","11","01","01:00","6.1","","5.7","","97","","3.7","","6","","17","","","","97.95","","","","","","NA"
"-72.06","46.30","LEMIEUX","701Q009","2019-11-01 02:00","2019","11","01","02:00","6.2","","5.7","","97","","5.8","","7","","21","","","","97.65","","","","","","NA"
"-72.06","46.30","LEMIEUX","701Q009","2019-11-01 03:00","2019","11","01","03:00","7.4","","7.1","","98","","3.0","","23","","14","","","","97.96","","","","","","NA"
"-72.06","46.30","LEMIEUX","701Q009","2019-11-01 04:00","2019","11","01","04:00","7.7","","7.1","","96","","0.8","","23","","22","","","","98.16","","","","","","NA"
"-72.06","46.30","LEMIEUX","701Q009","2019-11-01 05:00","2019","11","01","05:00","8.0","","6.5","","90","","2.5","","23","","26","","","","98.26","","","","","","NA"
"-72.06","46.30","LEMIEUX","701Q009","2019-11-01 06:00","2019","11","01","06:00","7.5","","5.6","","88","","0.5","","21","","22","","","","98.22","","","","","","NA"
"-72.06","46.30","LEMIEUX","701Q009","2019-11-01 07:00","2019","11","01","07:00","7.1","","4.3","","82","","0.0","","21","","19","","","","98.20","","","","","","NA"
"-72.06","46.30","LEMIEUX","701Q009","2019-11-01 08:00","2019","11","01","08:00","6.8","","0.6","","65","","0.0","","22","","46","","","","98.24","","","","","","NA"
"-72.06","46.30","LEMIEUX","701Q009","2019-11-01 09:00","2019","11","01","09:00","4.6","","2.3","","85","","0.0","","21","","44","","","","98.32","","","","","","NA"
"-72.06","46.30","LEMIEUX","701Q009","2019-11-01 10:00","2019","11","01","10:00","5.3","","0.1","","69","","0.3","","22","","50","","","","98.42","","","","","","NA"
"-72.06","46.30","LEMIEUX","701Q009","2019-11-01 11:00","2019","11","01","11:00","4.1","","-2.8","","61","","0.0","","22","","52","","","","98.72","","","","","","NA"
"-72.06","46.30","LEMIEUX","701Q009","2019-11-01 12:00","2019","11","01","12:00","3.9","","-3.1","","60","","0.0","","24","","41","","","","98.97","","","","","","NA"
"-72.06","46.30","LEMIEUX","701Q009","2019-11-01 13:00","2019","11","01","13:00","4.2","","-3.0","","60","","0.0","","23","","33","","","","99.20","","","","","","NA"
"-72.06","46.30","LEMIEUX","701Q009","2019-11-01 14:00","2019","11","01","14:00","4.3","","-3.4","","57","","0.0","","24","","37","","","","99.46","","","","","","NA"
"-72.06","46.30","LEMIEUX","701Q009","2019-11-01 15:00","2019","11","01","15:00","4.2","","-3.2","","59","","0.0","","25","","31","","","","99.77","","","","","","NA"
"-72.06","46.30","LEMIEUX","701Q009","2019-11-01 16:00","2019","11","01","16:00","4.0","","-3.0","","60","","0.0","","25","","25","","","","100.06","","","","","","NA"
"-72.06","46.30","LEMIEUX","701Q009","2019-11-01 17:00","2019","11","01","17:00","3.9","","-3.3","","59","","0.0","","25","","24","","","","100.31","","","","","","NA"
"-72.06","46.30","LEMIEUX","701Q009","2019-11-01 18:00","2019","11","01","18:00","3.8","","-3.0","","61","","0.0","","26","","23","","","","100.50","","","","","","NA"
"-72.06","46.30","LEMIEUX","701Q009","2019-11-01 19:00","2019","11","01","19:00","3.7","","-3.4","","60","","0.0","","26","","18","","","","100.63","","","","","","NA"
"-72.06","46.30","LEMIEUX","701Q009","2019-11-01 20:00","2019","11","01","20:00","3.3","","-3.5","","61","","0.0","","28","","16","","","","100.75","","","","","","NA"
"-72.06","46.30","LEMIEUX","701Q009","2019-11-01 21:00","2019","11","01","21:00","3.0","","-4.3","","59","","0.0","","26","","16","","","","100.88","","","","","","NA"
"-72.06","46.30","LEMIEUX","701Q009","2019-11-01 22:00","2019","11","01","22:00","2.8","","-4.5","","58","","0.0","","28","","15","","","","100.90","","","","","","NA"
"-72.06","46.30","LEMIEUX","701Q009","2019-11-01 23:00","2019","11","01","23:00","2.0","","-5.1","","59","","0.0","","27","","10","","","","100.96","","","","","","NA"
"-72.06","46.30","LEMIEUX","701Q009","2019-11-02 00:00","2019","11","02","00:00","1.4","","-5.6","","60","","0.0","","27","","6","","","","101.00","","","","","","NA"
"-72.06","46.30","LEMIEUX","701Q009","2019-11-02 01:00","2019","11","02","01:00","0.5","","-4.8","","67","","0.0","","24","","6","","","","101.05","","","","","","NA"
"-72.06","46.30","LEMIEUX","701Q009","2019-11-02 02:00","2019","11","02","02:00","1.5","","-5.2","","61","","0.0","","30","","10","","","","101.08","","","","","","NA"
"-72.06","46.30","LEMIEUX","701Q009","2019-11-02 03:00","2019","11","02","03:00","1.0","","-4.9","","65","","0.0","","29","","5","","","","101.09","","","","","","NA"
"-72.06","46.30","LEMIEUX","701Q009","2019-11-02 04:00","2019","11","02","04:00","0.3","","-4.1","","72","","0.0","","31","","2","","","","101.13","","","","","","NA"
"-72.06","46.30","LEMIEUX","701Q009","2019-11-02 05:00","2019","11","02","05:00","0.2","","-2.4","","83","","0.0","","","","0","","","","101.14","","","","","","NA"
"-72.06","46.30","LEMIEUX","701Q009","2019-11-02 06:00","2019","11","02","06:00","-0.1","","-1.6","","90","","0.0","","22","","4","","","","101.11","","","","-1","","NA"
"-72.06","46.30","LEMIEUX","701Q009","2019-11-02 07:00","2019","11","02","07:00","0.1","","-2.7","","82","","0.0","","","","0","","","","101.15","","","","","","NA"
"-72.06","46.30","LEMIEUX","701Q009","2019-11-02 08:00","2019","11","02","08:00","0.9","","-3.2","","74","","0.0","","16","","5","","","","101.19","","","","","","NA"
"-72.06","46.30","LEMIEUX","701Q009","2019-11-02 09:00","2019","11","02","09:00","1.6","","-5.3","","60","","0.0","","14","","4","","","","101.16","","","","","","NA"
"-72.06","46.30","LEMIEUX","701Q009","2019-11-02 10:00","2019","11","02","10:00","2.2","","-5.1","","58","","0.0","","12","","5","","","","101.11","","","","","","NA"
