"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-96.85","49.93","OAKBANK","5022051","2022-01-01","2022","01","01","†","","","","","","","","","","","0.0","","0.0","","0.0","","0","","","","",""
"-96.85","49.93","OAKBANK","5022051","2022-01-02","2022","01","02","†","","","","","","","","","","","0.0","","0.0","","0.0","","33","","","","",""
"-96.85","49.93","OAKBANK","5022051","2022-01-03","2022","01","03","†","","","","","","","","","","","0.0","","0.0","","0.0","","33","","","","",""
"-96.85","49.93","OAKBANK","5022051","2022-01-04","2022","01","04","†","","","","","","","","","","","0.0","","2.0","","2.0","","33","","","","",""
"-96.85","49.93","OAKBANK","5022051","2022-01-05","2022","01","05","†","","","","","","","","","","","0.0","","0.0","","0.0","","35","","","","",""
"-96.85","49.93","OAKBANK","5022051","2022-01-06","2022","01","06","†","","","","","","","","","","","0.0","","0.0","","0.0","","33","","","","",""
"-96.85","49.93","OAKBANK","5022051","2022-01-07","2022","01","07","†","","","","","","","","","","","0.0","","4.2","","4.2","","33","","","","",""
"-96.85","49.93","OAKBANK","5022051","2022-01-08","2022","01","08","†","","","","","","","","","","","0.0","","0.0","","0.0","","36","","","","",""
"-96.85","49.93","OAKBANK","5022051","2022-01-09","2022","01","09","†","","","","","","","","","","","0.0","","0.0","","0.0","","36","","","","",""
"-96.85","49.93","OAKBANK","5022051","2022-01-10","2022","01","10","†","","","","","","","","","","","0.0","","0.0","","0.0","","35","","","","",""
"-96.85","49.93","OAKBANK","5022051","2022-01-11","2022","01","11","†","","","","","","","","","","","0.0","","0.0","","0.0","","34","","","","",""
"-96.85","49.93","OAKBANK","5022051","2022-01-12","2022","01","12","†","","","","","","","","","","","0.0","","2.0","","2.0","","34","","","","",""
"-96.85","49.93","OAKBANK","5022051","2022-01-13","2022","01","13","†","","","","","","","","","","","0.0","","0.0","","0.0","","36","","","","",""
"-96.85","49.93","OAKBANK","5022051","2022-01-14","2022","01","14","†","","","","","","","","","","","0.0","","0.0","","0.0","","36","","","","",""
"-96.85","49.93","OAKBANK","5022051","2022-01-15","2022","01","15","†","","","","","","","","","","","0.0","","0.0","T","0.0","T","35","","","","",""
"-96.85","49.93","OAKBANK","5022051","2022-01-16","2022","01","16","†","","","","","","","","","","","0.0","","0.0","","0.0","","35","","","","",""
