"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-63.42","44.61","OSBORNE HEAD DND","8204190","2020-01-01 00:00","2020","01","01","00:00","","M","","M","","M","","","8","","21","","","","99.08","","","","","","NA"
"-63.42","44.61","OSBORNE HEAD DND","8204190","2020-01-01 01:00","2020","01","01","01:00","","M","","M","","M","","","14","","8","","","","99.03","","","","","","NA"
"-63.42","44.61","OSBORNE HEAD DND","8204190","2020-01-01 02:00","2020","01","01","02:00","","M","","M","","M","","","22","","10","","","","98.97","","","","","","NA"
"-63.42","44.61","OSBORNE HEAD DND","8204190","2020-01-01 03:00","2020","01","01","03:00"
"-63.42","44.61","OSBORNE HEAD DND","8204190","2020-01-01 04:00","2020","01","01","04:00","","M","","M","","M","","","24","","20","","","","98.95","","","","","","NA"
"-63.42","44.61","OSBORNE HEAD DND","8204190","2020-01-01 05:00","2020","01","01","05:00"
"-63.42","44.61","OSBORNE HEAD DND","8204190","2020-01-01 06:00","2020","01","01","06:00","","M","","M","","M","","","26","","35","","","","98.88","","","","","","NA"
"-63.42","44.61","OSBORNE HEAD DND","8204190","2020-01-01 07:00","2020","01","01","07:00","","M","","M","","M","","","25","","31","","","","98.98","","","","","","NA"
"-63.42","44.61","OSBORNE HEAD DND","8204190","2020-01-01 08:00","2020","01","01","08:00","","M","","M","","M","","","26","","28","","","","99.06","","","","","","NA"
"-63.42","44.61","OSBORNE HEAD DND","8204190","2020-01-01 09:00","2020","01","01","09:00","","M","","M","","M","","","26","","25","","","","99.14","","","","","","NA"
"-63.42","44.61","OSBORNE HEAD DND","8204190","2020-01-01 10:00","2020","01","01","10:00","","M","","M","","M","","","25","","31","","","","99.19","","","","","","NA"
"-63.42","44.61","OSBORNE HEAD DND","8204190","2020-01-01 11:00","2020","01","01","11:00","","M","","M","","M","","","25","","30","","","","99.17","","","","","","NA"
"-63.42","44.61","OSBORNE HEAD DND","8204190","2020-01-01 12:00","2020","01","01","12:00","","M","","M","","M","","","25","","28","","","","99.08","","","","","","NA"
"-63.42","44.61","OSBORNE HEAD DND","8204190","2020-01-01 13:00","2020","01","01","13:00","","M","","M","","M","","","24","","30","","","","99.03","","","","","","NA"
"-63.42","44.61","OSBORNE HEAD DND","8204190","2020-01-01 14:00","2020","01","01","14:00","","M","","M","","M","","","24","","24","","","","98.98","","","","","","NA"
"-63.42","44.61","OSBORNE HEAD DND","8204190","2020-01-01 15:00","2020","01","01","15:00"
"-63.42","44.61","OSBORNE HEAD DND","8204190","2020-01-01 16:00","2020","01","01","16:00","","M","","M","","M","","","26","","25","","","","99.01","","","","","","NA"
"-63.42","44.61","OSBORNE HEAD DND","8204190","2020-01-01 17:00","2020","01","01","17:00","","M","","M","","M","","","27","","20","","","","99.08","","","","","","NA"
"-63.42","44.61","OSBORNE HEAD DND","8204190","2020-01-01 18:00","2020","01","01","18:00","","M","","M","","M","","","28","","19","","","","99.13","","","","","","NA"
"-63.42","44.61","OSBORNE HEAD DND","8204190","2020-01-01 19:00","2020","01","01","19:00","","M","","M","","M","","","25","","20","","","","99.18","","","","","","NA"
"-63.42","44.61","OSBORNE HEAD DND","8204190","2020-01-01 20:00","2020","01","01","20:00","","M","","M","","M","","","26","","25","","","","99.24","","","","","","NA"
"-63.42","44.61","OSBORNE HEAD DND","8204190","2020-01-01 21:00","2020","01","01","21:00","","M","","M","","M","","","25","","26","","","","99.25","","","","","","NA"
"-63.42","44.61","OSBORNE HEAD DND","8204190","2020-01-01 22:00","2020","01","01","22:00"
