"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-111.26","53.46","MANNVILLE AGCM","3014195","2021-11-01 00:00","2021","11","01","00:00","-7.4","","-11.1","","74","","0.0","","","M","","M","","","","M","","","","","NA"
"-111.26","53.46","MANNVILLE AGCM","3014195","2021-11-01 01:00","2021","11","01","01:00","-7.9","","-11.0","","79","","0.0","","","M","","M","","","","M","","","","","NA"
"-111.26","53.46","MANNVILLE AGCM","3014195","2021-11-01 02:00","2021","11","01","02:00","-8.8","","-11.7","","79","","0.0","","","M","","M","","","","M","","","","","NA"
"-111.26","53.46","MANNVILLE AGCM","3014195","2021-11-01 03:00","2021","11","01","03:00","-8.7","","-11.7","","79","","0.0","","","M","","M","","","","M","","","","","NA"
"-111.26","53.46","MANNVILLE AGCM","3014195","2021-11-01 04:00","2021","11","01","04:00","-10.8","","-12.8","","85","","0.0","","","M","","M","","","","M","","","","","NA"
"-111.26","53.46","MANNVILLE AGCM","3014195","2021-11-01 05:00","2021","11","01","05:00","-10.9","","-12.7","","87","","0.0","","","M","","M","","","","M","","","","","NA"
"-111.26","53.46","MANNVILLE AGCM","3014195","2021-11-01 06:00","2021","11","01","06:00","-10.6","","-12.5","","86","","0.0","","","M","","M","","","","M","","","","","NA"
"-111.26","53.46","MANNVILLE AGCM","3014195","2021-11-01 07:00","2021","11","01","07:00","-11.7","","-13.1","","89","","0.0","","","M","","M","","","","M","","","","","NA"
"-111.26","53.46","MANNVILLE AGCM","3014195","2021-11-01 08:00","2021","11","01","08:00","-11.5","","-13.1","","88","","0.0","","","M","","M","","","","M","","","","","NA"
"-111.26","53.46","MANNVILLE AGCM","3014195","2021-11-01 09:00","2021","11","01","09:00","-6.8","","-10.2","","77","","0.0","","","M","","M","","","","M","","","","","NA"
"-111.26","53.46","MANNVILLE AGCM","3014195","2021-11-01 10:00","2021","11","01","10:00","-3.9","","-9.1","","67","","0.0","","","M","","M","","","","M","","","","","NA"
"-111.26","53.46","MANNVILLE AGCM","3014195","2021-11-01 11:00","2021","11","01","11:00","-0.5","","-9.4","","51","","0.0","","","M","","M","","","","M","","","","","NA"
"-111.26","53.46","MANNVILLE AGCM","3014195","2021-11-01 12:00","2021","11","01","12:00","2.0","","-11.7","","36","","0.0","","","M","","M","","","","M","","","","","NA"
"-111.26","53.46","MANNVILLE AGCM","3014195","2021-11-01 13:00","2021","11","01","13:00","4.3","","-9.9","","35","","0.0","","","M","","M","","","","M","","","","","NA"
"-111.26","53.46","MANNVILLE AGCM","3014195","2021-11-01 14:00","2021","11","01","14:00","4.3","","-10.7","","33","","0.0","","","M","","M","","","","M","","","","","NA"
"-111.26","53.46","MANNVILLE AGCM","3014195","2021-11-01 15:00","2021","11","01","15:00","4.3","","-10.5","","33","","0.0","","","M","","M","","","","M","","","","","NA"
"-111.26","53.46","MANNVILLE AGCM","3014195","2021-11-01 16:00","2021","11","01","16:00","3.3","","-10.6","","35","","0.0","","","M","","M","","","","M","","","","","NA"
"-111.26","53.46","MANNVILLE AGCM","3014195","2021-11-01 17:00","2021","11","01","17:00","-0.5","","-10.9","","45","","0.0","","","M","","M","","","","M","","","","","NA"
"-111.26","53.46","MANNVILLE AGCM","3014195","2021-11-01 18:00","2021","11","01","18:00","-2.6","","-11.2","","51","","0.0","","","M","","M","","","","M","","","","","NA"
"-111.26","53.46","MANNVILLE AGCM","3014195","2021-11-01 19:00","2021","11","01","19:00","-2.9","","-10.7","","55","","0.0","","","M","","M","","","","M","","","","","NA"
"-111.26","53.46","MANNVILLE AGCM","3014195","2021-11-01 20:00","2021","11","01","20:00","-3.8","","-10.8","","58","","0.0","","","M","","M","","","","M","","","","","NA"
"-111.26","53.46","MANNVILLE AGCM","3014195","2021-11-01 21:00","2021","11","01","21:00","-4.1","","-11.0","","59","","0.0","","","M","","M","","","","M","","","","","NA"
"-111.26","53.46","MANNVILLE AGCM","3014195","2021-11-01 22:00","2021","11","01","22:00","-4.4","","-10.7","","61","","0.0","","","M","","M","","","","M","","","","","NA"
"-111.26","53.46","MANNVILLE AGCM","3014195","2021-11-01 23:00","2021","11","01","23:00","-5.2","","-10.9","","65","","0.0","","","M","","M","","","","M","","","","","NA"
"-111.26","53.46","MANNVILLE AGCM","3014195","2021-11-02 00:00","2021","11","02","00:00","-5.2","","-10.6","","66","","0.0","","","M","","M","","","","M","","","","","NA"
"-111.26","53.46","MANNVILLE AGCM","3014195","2021-11-02 01:00","2021","11","02","01:00","-4.8","","-10.2","","66","","0.0","","","M","","M","","","","M","","","","","NA"
"-111.26","53.46","MANNVILLE AGCM","3014195","2021-11-02 02:00","2021","11","02","02:00","-6.0","","-10.3","","71","","0.0","","","M","","M","","","","M","","","","","NA"
"-111.26","53.46","MANNVILLE AGCM","3014195","2021-11-02 03:00","2021","11","02","03:00","-5.5","","-10.3","","69","","0.0","","","M","","M","","","","M","","","","","NA"
"-111.26","53.46","MANNVILLE AGCM","3014195","2021-11-02 04:00","2021","11","02","04:00","-7.4","","-11.0","","75","","0.0","","","M","","M","","","","M","","","","","NA"
"-111.26","53.46","MANNVILLE AGCM","3014195","2021-11-02 05:00","2021","11","02","05:00","-9.5","","-12.1","","81","","0.0","","","M","","M","","","","M","","","","","NA"
"-111.26","53.46","MANNVILLE AGCM","3014195","2021-11-02 06:00","2021","11","02","06:00","-10.0","","-12.3","","84","","0.0","","","M","","M","","","","M","","","","","NA"
"-111.26","53.46","MANNVILLE AGCM","3014195","2021-11-02 07:00","2021","11","02","07:00","-10.3","","-12.7","","83","","0.0","","","M","","M","","","","M","","","","","NA"
"-111.26","53.46","MANNVILLE AGCM","3014195","2021-11-02 08:00","2021","11","02","08:00","-9.3","","-11.8","","82","","0.0","","","M","","M","","","","M","","","","","NA"
"-111.26","53.46","MANNVILLE AGCM","3014195","2021-11-02 09:00","2021","11","02","09:00","-5.6","","-9.9","","72","","0.0","","","M","","M","","","","M","","","","","NA"
"-111.26","53.46","MANNVILLE AGCM","3014195","2021-11-02 10:00","2021","11","02","10:00","-3.2","","-9.2","","63","","0.0","","","M","","M","","","","M","","","","","NA"
"-111.26","53.46","MANNVILLE AGCM","3014195","2021-11-02 11:00","2021","11","02","11:00","-0.4","","-8.5","","54","","0.0","","","M","","M","","","","M","","","","","NA"
"-111.26","53.46","MANNVILLE AGCM","3014195","2021-11-02 12:00","2021","11","02","12:00","2.7","","-8.0","","45","","0.0","","","M","","M","","","","M","","","","","NA"
"-111.26","53.46","MANNVILLE AGCM","3014195","2021-11-02 13:00","2021","11","02","13:00","3.8","","-7.8","","43","","0.0","","","M","","M","","","","M","","","","","NA"
"-111.26","53.46","MANNVILLE AGCM","3014195","2021-11-02 14:00","2021","11","02","14:00","4.3","","-8.1","","40","","0.0","","","M","","M","","","","M","","","","","NA"
"-111.26","53.46","MANNVILLE AGCM","3014195","2021-11-02 15:00","2021","11","02","15:00","4.4","","-8.3","","39","","0.0","","","M","","M","","","","M","","","","","NA"
"-111.26","53.46","MANNVILLE AGCM","3014195","2021-11-02 16:00","2021","11","02","16:00","3.3","","-8.4","","42","","0.0","","","M","","M","","","","M","","","","","NA"
"-111.26","53.46","MANNVILLE AGCM","3014195","2021-11-02 17:00","2021","11","02","17:00","0.8","","-8.3","","51","","0.0","","","M","","M","","","","M","","","","","NA"
"-111.26","53.46","MANNVILLE AGCM","3014195","2021-11-02 18:00","2021","11","02","18:00","-0.2","","-8.1","","55","","0.0","","","M","","M","","","","M","","","","","NA"
"-111.26","53.46","MANNVILLE AGCM","3014195","2021-11-02 19:00","2021","11","02","19:00","-0.9","","-8.2","","58","","0.0","","","M","","M","","","","M","","","","","NA"
"-111.26","53.46","MANNVILLE AGCM","3014195","2021-11-02 20:00","2021","11","02","20:00","-3.6","","-8.8","","67","","0.0","","","M","","M","","","","M","","","","","NA"
"-111.26","53.46","MANNVILLE AGCM","3014195","2021-11-02 21:00","2021","11","02","21:00","-2.7","","-8.4","","65","","0.0","","","M","","M","","","","M","","","","","NA"
"-111.26","53.46","MANNVILLE AGCM","3014195","2021-11-02 22:00","2021","11","02","22:00","-6.3","","-9.7","","77","","0.0","","","M","","M","","","","M","","","","","NA"
"-111.26","53.46","MANNVILLE AGCM","3014195","2021-11-02 23:00","2021","11","02","23:00","-4.9","","-8.5","","75","","0.0","","","M","","M","","","","M","","","","","NA"
"-111.26","53.46","MANNVILLE AGCM","3014195","2021-11-03 00:00","2021","11","03","00:00","-5.9","","-9.1","","78","","0.0","","","M","","M","","","","M","","","","","NA"
"-111.26","53.46","MANNVILLE AGCM","3014195","2021-11-03 01:00","2021","11","03","01:00","-7.8","","-9.5","","87","","0.0","","","M","","M","","","","M","","","","","NA"
"-111.26","53.46","MANNVILLE AGCM","3014195","2021-11-03 02:00","2021","11","03","02:00","-7.4","","-9.4","","86","","0.0","","","M","","M","","","","M","","","","","NA"
"-111.26","53.46","MANNVILLE AGCM","3014195","2021-11-03 03:00","2021","11","03","03:00","-7.5","","-9.7","","84","","0.0","","","M","","M","","","","M","","","","","NA"
"-111.26","53.46","MANNVILLE AGCM","3014195","2021-11-03 04:00","2021","11","03","04:00","-7.2","","-8.8","","89","","0.0","","","M","","M","","","","M","","","","","NA"
"-111.26","53.46","MANNVILLE AGCM","3014195","2021-11-03 05:00","2021","11","03","05:00","-8.9","","-10.1","","91","","0.0","","","M","","M","","","","M","","","","","NA"
"-111.26","53.46","MANNVILLE AGCM","3014195","2021-11-03 06:00","2021","11","03","06:00","-8.5","","-9.9","","90","","0.0","","","M","","M","","","","M","","","","","NA"
"-111.26","53.46","MANNVILLE AGCM","3014195","2021-11-03 07:00","2021","11","03","07:00","-7.3","","-9.0","","88","","0.0","","","M","","M","","","","M","","","","","NA"
"-111.26","53.46","MANNVILLE AGCM","3014195","2021-11-03 08:00","2021","11","03","08:00","-6.5","","-9.0","","83","","0.0","","","M","","M","","","","M","","","","","NA"
"-111.26","53.46","MANNVILLE AGCM","3014195","2021-11-03 09:00","2021","11","03","09:00","-5.0","","-7.8","","81","","0.0","","","M","","M","","","","M","","","","","NA"
"-111.26","53.46","MANNVILLE AGCM","3014195","2021-11-03 10:00","2021","11","03","10:00","-4.0","","-6.7","","81","","0.0","","","M","","M","","","","M","","","","","NA"
"-111.26","53.46","MANNVILLE AGCM","3014195","2021-11-03 11:00","2021","11","03","11:00","1.1","","-5.7","","61","","0.0","","","M","","M","","","","M","","","","","NA"
"-111.26","53.46","MANNVILLE AGCM","3014195","2021-11-03 12:00","2021","11","03","12:00","3.2","","-5.6","","52","","0.0","","","M","","M","","","","M","","","","","NA"
"-111.26","53.46","MANNVILLE AGCM","3014195","2021-11-03 13:00","2021","11","03","13:00","4.4","","-5.8","","47","","0.0","","","M","","M","","","","M","","","","","NA"
"-111.26","53.46","MANNVILLE AGCM","3014195","2021-11-03 14:00","2021","11","03","14:00","6.7","","-6.1","","40","","0.0","","","M","","M","","","","M","","","","","NA"
"-111.26","53.46","MANNVILLE AGCM","3014195","2021-11-03 15:00","2021","11","03","15:00","7.0","","-6.0","","39","","0.0","","","M","","M","","","","M","","","","","NA"
"-111.26","53.46","MANNVILLE AGCM","3014195","2021-11-03 16:00","2021","11","03","16:00","5.6","","-6.6","","41","","0.0","","","M","","M","","","","M","","","","","NA"
"-111.26","53.46","MANNVILLE AGCM","3014195","2021-11-03 17:00","2021","11","03","17:00","3.0","","-6.6","","49","","0.0","","","M","","M","","","","M","","","","","NA"
"-111.26","53.46","MANNVILLE AGCM","3014195","2021-11-03 18:00","2021","11","03","18:00","1.7","","-6.7","","54","","0.0","","","M","","M","","","","M","","","","","NA"
"-111.26","53.46","MANNVILLE AGCM","3014195","2021-11-03 19:00","2021","11","03","19:00","0.5","","-7.1","","57","","0.0","","","M","","M","","","","M","","","","","NA"
"-111.26","53.46","MANNVILLE AGCM","3014195","2021-11-03 20:00","2021","11","03","20:00","-1.2","","-7.7","","61","","0.0","","","M","","M","","","","M","","","","","NA"
"-111.26","53.46","MANNVILLE AGCM","3014195","2021-11-03 21:00","2021","11","03","21:00","-1.1","","-7.0","","64","","0.0","","","M","","M","","","","M","","","","","NA"
"-111.26","53.46","MANNVILLE AGCM","3014195","2021-11-03 22:00","2021","11","03","22:00","-0.8","","-6.9","","64","","0.0","","","M","","M","","","","M","","","","","NA"
"-111.26","53.46","MANNVILLE AGCM","3014195","2021-11-03 23:00","2021","11","03","23:00","-1.3","","-6.8","","66","","0.0","","","M","","M","","","","M","","","","","NA"
"-111.26","53.46","MANNVILLE AGCM","3014195","2021-11-04 00:00","2021","11","04","00:00","-1.2","","-6.6","","67","","0.0","","","M","","M","","","","M","","","","","NA"
"-111.26","53.46","MANNVILLE AGCM","3014195","2021-11-04 01:00","2021","11","04","01:00","-2.6","","-6.8","","73","","0.0","","","M","","M","","","","M","","","","","NA"
"-111.26","53.46","MANNVILLE AGCM","3014195","2021-11-04 02:00","2021","11","04","02:00","-2.0","","-6.8","","70","","0.0","","","M","","M","","","","M","","","","","NA"
"-111.26","53.46","MANNVILLE AGCM","3014195","2021-11-04 03:00","2021","11","04","03:00","-3.8","","-7.2","","77","","0.0","","","M","","M","","","","M","","","","","NA"
"-111.26","53.46","MANNVILLE AGCM","3014195","2021-11-04 04:00","2021","11","04","04:00","-2.5","","-6.1","","76","","0.0","","","M","","M","","","","M","","","","","NA"
"-111.26","53.46","MANNVILLE AGCM","3014195","2021-11-04 05:00","2021","11","04","05:00","-4.4","","-6.8","","83","","0.0","","","M","","M","","","","M","","","","","NA"
"-111.26","53.46","MANNVILLE AGCM","3014195","2021-11-04 06:00","2021","11","04","06:00","-4.8","","-7.5","","81","","0.0","","","M","","M","","","","M","","","","","NA"
"-111.26","53.46","MANNVILLE AGCM","3014195","2021-11-04 07:00","2021","11","04","07:00","-5.5","","-7.7","","84","","0.0","","","M","","M","","","","M","","","","","NA"
"-111.26","53.46","MANNVILLE AGCM","3014195","2021-11-04 08:00","2021","11","04","08:00","-4.7","","-7.1","","83","","0.0","","","M","","M","","","","M","","","","","NA"
"-111.26","53.46","MANNVILLE AGCM","3014195","2021-11-04 09:00","2021","11","04","09:00","-3.4","","-6.5","","79","","0.0","","","M","","M","","","","M","","","","","NA"
"-111.26","53.46","MANNVILLE AGCM","3014195","2021-11-04 10:00","2021","11","04","10:00","0.7","","-4.3","","69","","0.0","","","M","","M","","","","M","","","","","NA"
"-111.26","53.46","MANNVILLE AGCM","3014195","2021-11-04 11:00","2021","11","04","11:00","5.3","","-1.4","","62","","0.0","","","M","","M","","","","M","","","","","NA"
"-111.26","53.46","MANNVILLE AGCM","3014195","2021-11-04 12:00","2021","11","04","12:00","7.0","","-1.0","","57","","0.0","","","M","","M","","","","M","","","","","NA"
"-111.26","53.46","MANNVILLE AGCM","3014195","2021-11-04 13:00","2021","11","04","13:00","9.5","","0.2","","52","","0.0","","","M","","M","","","","M","","","","","NA"
"-111.26","53.46","MANNVILLE AGCM","3014195","2021-11-04 14:00","2021","11","04","14:00","8.5","","0.2","","56","","0.0","","","M","","M","","","","M","","","","","NA"
