"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-110.68","49.36","MANYBERRIES AGCM","3044203","2018-01-01","2018","01","01","","-25.4","","-36.0","","-30.7","","48.7","","0.0","","","M","","M","0.0","","","","","M","","M"
"-110.68","49.36","MANYBERRIES AGCM","3044203","2018-01-02","2018","01","02","","-2.0","","-25.6","","-13.8","","31.8","","0.0","","","M","","M","","M","","","","M","","M"
"-110.68","49.36","MANYBERRIES AGCM","3044203","2018-01-03","2018","01","03","","0.7","","-15.4","","-7.4","","25.4","","0.0","","","M","","M","0.0","","","","","M","","M"
"-110.68","49.36","MANYBERRIES AGCM","3044203","2018-01-04","2018","01","04","","-2.1","","-14.5","","-8.3","","26.3","","0.0","","","M","","M","0.0","","","","","M","","M"
"-110.68","49.36","MANYBERRIES AGCM","3044203","2018-01-05","2018","01","05","","-2.8","","-11.1","","-7.0","","25.0","","0.0","","","M","","M","0.0","","","","","M","","M"
"-110.68","49.36","MANYBERRIES AGCM","3044203","2018-01-06","2018","01","06","","4.4","","-10.2","","-2.9","","20.9","","0.0","","","M","","M","0.0","","","","","M","","M"
"-110.68","49.36","MANYBERRIES AGCM","3044203","2018-01-07","2018","01","07","","1.4","","-7.2","","-2.9","","20.9","","0.0","","","M","","M","0.0","","","","","M","","M"
"-110.68","49.36","MANYBERRIES AGCM","3044203","2018-01-08","2018","01","08","","2.1","","-7.4","","-2.7","","20.7","","0.0","","","M","","M","0.0","","","","","M","","M"
"-110.68","49.36","MANYBERRIES AGCM","3044203","2018-01-09","2018","01","09","","1.5","","-17.2","","-7.9","","25.9","","0.0","","","M","","M","0.0","","","","","M","","M"
"-110.68","49.36","MANYBERRIES AGCM","3044203","2018-01-10","2018","01","10","","-17.2","","-23.1","","-20.2","","38.2","","0.0","","","M","","M","1.7","","","","","M","","M"
"-110.68","49.36","MANYBERRIES AGCM","3044203","2018-01-11","2018","01","11","","-22.6","","-34.8","","-28.7","","46.7","","0.0","","","M","","M","1.3","","","","","M","","M"
"-110.68","49.36","MANYBERRIES AGCM","3044203","2018-01-12","2018","01","12","","-19.5","","-23.8","","-21.7","","39.7","","0.0","","","M","","M","0.0","","","","","M","","M"
"-110.68","49.36","MANYBERRIES AGCM","3044203","2018-01-13","2018","01","13","","-1.4","","-21.2","","-11.3","","29.3","","0.0","","","M","","M","","M","","","","M","","M"
"-110.68","49.36","MANYBERRIES AGCM","3044203","2018-01-14","2018","01","14","","-2.2","","-28.2","","-15.2","","33.2","","0.0","","","M","","M","0.9","","","","","M","","M"
"-110.68","49.36","MANYBERRIES AGCM","3044203","2018-01-15","2018","01","15","","-16.9","","-27.0","","-22.0","","40.0","","0.0","","","M","","M","0.4","","","","","M","","M"
"-110.68","49.36","MANYBERRIES AGCM","3044203","2018-01-16","2018","01","16","","0.0","","-18.8","","-9.4","","27.4","","0.0","","","M","","M","0.0","","","","","M","","M"
"-110.68","49.36","MANYBERRIES AGCM","3044203","2018-01-17","2018","01","17","","1.0","","-6.2","","-2.6","","20.6","","0.0","","","M","","M","","M","","","","M","","M"
