"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-99.07","49.56","CYPRESS RIVER RCS","5010641","2021-07-01 00:00","2021","07","01","00:00","18.8","","11.7","","64","","0.0","","9","","7","","","","97.54","","","","","","NA"
"-99.07","49.56","CYPRESS RIVER RCS","5010641","2021-07-01 01:00","2021","07","01","01:00","17.6","","12.0","","70","","0.0","","10","","6","","","","97.56","","","","","","NA"
"-99.07","49.56","CYPRESS RIVER RCS","5010641","2021-07-01 02:00","2021","07","01","02:00","16.4","","13.2","","81","","0.0","","7","","3","","","","97.57","","","","","","NA"
"-99.07","49.56","CYPRESS RIVER RCS","5010641","2021-07-01 03:00","2021","07","01","03:00","15.3","","12.8","","85","","0.0","","20","","2","","","","97.55","","","","","","NA"
"-99.07","49.56","CYPRESS RIVER RCS","5010641","2021-07-01 04:00","2021","07","01","04:00","14.4","","12.7","","89","","0.0","","27","","4","","","","97.57","","","","","","NA"
"-99.07","49.56","CYPRESS RIVER RCS","5010641","2021-07-01 05:00","2021","07","01","05:00","13.8","","12.8","","94","","0.0","","4","","5","","","","97.60","","","","","","NA"
"-99.07","49.56","CYPRESS RIVER RCS","5010641","2021-07-01 06:00","2021","07","01","06:00","16.4","","13.9","","85","","0.0","","4","","3","","","","97.61","","","","","","NA"
"-99.07","49.56","CYPRESS RIVER RCS","5010641","2021-07-01 07:00","2021","07","01","07:00","19.2","","14.3","","73","","0.0","","17","","3","","","","97.63","","","","","","NA"
"-99.07","49.56","CYPRESS RIVER RCS","5010641","2021-07-01 08:00","2021","07","01","08:00","22.5","","12.5","","53","","0.0","","5","","3","","","","97.63","","25","","","","NA"
"-99.07","49.56","CYPRESS RIVER RCS","5010641","2021-07-01 09:00","2021","07","01","09:00","25.0","","14.5","","52","","0.0","","8","","4","","","","97.63","","29","","","","NA"
