"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-99.95","49.90","BRANDON RCS","5010490","2019-01-01","2019","01","01","","-8.9","","-31.1","","-20.0","","38.0","","0.0","","","","","","0.2","","16","","21","","40",""
"-99.95","49.90","BRANDON RCS","5010490","2019-01-02","2019","01","02","","0.3","","-8.9","","-4.3","","22.3","","0.0","","","","","","0.0","","16","","32","","39",""
"-99.95","49.90","BRANDON RCS","5010490","2019-01-03","2019","01","03","","1.3","","-7.2","","-2.9","","20.9","","0.0","","","","","","0.0","","16","","22","","31",""
"-99.95","49.90","BRANDON RCS","5010490","2019-01-04","2019","01","04","","-4.8","","-11.5","","-8.1","","26.1","","0.0","","","","","","0.0","","16","","","","",""
"-99.95","49.90","BRANDON RCS","5010490","2019-01-05","2019","01","05","","-2.4","","-7.5","","-5.0","","23.0","","0.0","","","","","","0.0","","16","","","","",""
"-99.95","49.90","BRANDON RCS","5010490","2019-01-06","2019","01","06","","-2.7","","-10.6","","-6.7","","24.7","","0.0","","","","","","8.8","","16","","11","","48",""
"-99.95","49.90","BRANDON RCS","5010490","2019-01-07","2019","01","07","","-0.7","","-10.1","","-5.4","","23.4","","0.0","","","","","","0.2","","20","","29","","63",""
"-99.95","49.90","BRANDON RCS","5010490","2019-01-08","2019","01","08","","-10.1","","-20.5","","-15.3","","33.3","","0.0","","","","","","0.0","","16","","30","","72",""
"-99.95","49.90","BRANDON RCS","5010490","2019-01-09","2019","01","09","","-16.4","","-25.7","","-21.0","","39.0","","0.0","","","","","","0.2","","16","","9","","34",""
"-99.95","49.90","BRANDON RCS","5010490","2019-01-10","2019","01","10","","-11.1","","-16.4","","-13.7","","31.7","","0.0","","","","","","0.0","","16","","10","","33",""
"-99.95","49.90","BRANDON RCS","5010490","2019-01-11","2019","01","11","","-11.0","","-16.9","","-14.0","","32.0","","0.0","","","","","","0.0","","16","","","","",""
"-99.95","49.90","BRANDON RCS","5010490","2019-01-12","2019","01","12","","-7.8","","-12.9","","-10.3","","28.3","","0.0","","","","","","0.0","","16","","","","",""
"-99.95","49.90","BRANDON RCS","5010490","2019-01-13","2019","01","13","","-8.1","","-14.2","","-11.1","","29.1","","0.0","","","","","","0.0","","16","","","","",""
"-99.95","49.90","BRANDON RCS","5010490","2019-01-14","2019","01","14","","-7.2","","-11.8","","-9.5","","27.5","","0.0","","","","","","0.0","","16","","","","",""
"-99.95","49.90","BRANDON RCS","5010490","2019-01-15","2019","01","15","","-2.5","","-23.6","","-13.1","","31.1","","0.0","","","","","","0.0","","16","","32","","42",""
"-99.95","49.90","BRANDON RCS","5010490","2019-01-16","2019","01","16","","-17.6","","-28.6","","-23.1","","41.1","","0.0","","","","","","0.2","","16","","","","",""
"-99.95","49.90","BRANDON RCS","5010490","2019-01-17","2019","01","17","","-15.8","","-27.2","","-21.5","","39.5","","0.0","","","","","","0.0","","16","","","","",""
"-99.95","49.90","BRANDON RCS","5010490","2019-01-18","2019","01","18","","-24.3","","-30.9","","-27.6","","45.6","","0.0","","","","","","0.0","","16","","","","",""
"-99.95","49.90","BRANDON RCS","5010490","2019-01-19","2019","01","19","","-24.4","","-33.5","","-28.9","","46.9","","0.0","","","","","","0.2","","16","","","","",""
"-99.95","49.90","BRANDON RCS","5010490","2019-01-20","2019","01","20","","-17.5","","-31.8","","-24.7","","42.7","","0.0","","","","","","0.0","","16","","","","",""
"-99.95","49.90","BRANDON RCS","5010490","2019-01-21","2019","01","21","","-13.1","","-20.1","","-16.6","","34.6","","0.0","","","","","","0.0","","16","","16","","31",""
"-99.95","49.90","BRANDON RCS","5010490","2019-01-22","2019","01","22","","-10.2","","-17.9","","-14.0","","32.0","","0.0","","","","","","0.0","","16","","","","",""
"-99.95","49.90","BRANDON RCS","5010490","2019-01-23","2019","01","23","","-5.9","","-18.9","","-12.4","","30.4","","0.0","","","","","","0.0","","16","","34","","42",""
"-99.95","49.90","BRANDON RCS","5010490","2019-01-24","2019","01","24","","-18.7","","-30.2","","-24.5","","42.5","","0.0","","","","","","0.2","","16","","29","","36",""
"-99.95","49.90","BRANDON RCS","5010490","2019-01-25","2019","01","25","","-21.4","","-30.8","","-26.1","","44.1","","0.0","","","","","","0.0","","16","","","","",""
"-99.95","49.90","BRANDON RCS","5010490","2019-01-26","2019","01","26","","-21.1","","-28.6","","-24.9","","42.9","","0.0","","","","","","0.2","","16","","","","",""
"-99.95","49.90","BRANDON RCS","5010490","2019-01-27","2019","01","27","","-17.8","","-28.8","","-23.3","","41.3","","0.0","","","","","","4.1","","17","","5","","43",""
"-99.95","49.90","BRANDON RCS","5010490","2019-01-28","2019","01","28","","-14.3","","-26.5","","-20.4","","38.4","","0.0","","","","","","0.3","","16","","33","","53",""
"-99.95","49.90","BRANDON RCS","5010490","2019-01-29","2019","01","29","","-26.4","","-36.4","","-31.4","","49.4","","0.0","","","","","","0.2","","16","","","","",""
"-99.95","49.90","BRANDON RCS","5010490","2019-01-30","2019","01","30","","-29.1","","-40.8","","-34.9","","52.9","","0.0","","","","","","0.0","","16","","","","",""
"-99.95","49.90","BRANDON RCS","5010490","2019-01-31","2019","01","31","","-17.5","","-36.0","","-26.7","","44.7","","0.0","","","","","","0.0","","16","","","","",""
"-99.95","49.90","BRANDON RCS","5010490","2019-02-01","2019","02","01","","-12.5","","-17.7","","-15.1","","33.1","","0.0","","","","","","0.0","","17","","5","","45",""
"-99.95","49.90","BRANDON RCS","5010490","2019-02-02","2019","02","02","","-17.6","","-20.4","","-19.0","","37.0","","0.0","","","","","","0.0","","16","","9","","39",""
"-99.95","49.90","BRANDON RCS","5010490","2019-02-03","2019","02","03","","-19.7","","-24.1","","-21.9","","39.9","","0.0","","","","","","3.6","","16","","","","",""
"-99.95","49.90","BRANDON RCS","5010490","2019-02-04","2019","02","04","","-20.8","","-30.5","","-25.6","","43.6","","0.0","","","","","","2.3","","22","","5","","36",""
"-99.95","49.90","BRANDON RCS","5010490","2019-02-05","2019","02","05","","-22.1","","-30.2","","-26.1","","44.1","","0.0","","","","","","2.3","","20","","","","",""
"-99.95","49.90","BRANDON RCS","5010490","2019-02-06","2019","02","06","","-21.0","","-28.7","","-24.8","","42.8","","0.0","","","","","","0.9","","25","","","","",""
"-99.95","49.90","BRANDON RCS","5010490","2019-02-07","2019","02","07","","-22.6","","-33.4","","-28.0","","46.0","","0.0","","","","","","0.2","","25","","","","",""
"-99.95","49.90","BRANDON RCS","5010490","2019-02-08","2019","02","08","","-27.5","","-38.0","","-32.7","","50.7","","0.0","","","","","","0.0","","24","","","","",""
"-99.95","49.90","BRANDON RCS","5010490","2019-02-09","2019","02","09","","-20.8","","-34.5","","-27.6","","45.6","","0.0","","","","","","0.0","","23","","","","",""
"-99.95","49.90","BRANDON RCS","5010490","2019-02-10","2019","02","10","","-20.6","","-35.6","","-28.1","","46.1","","0.0","","","","","","0.0","","23","","","","",""
"-99.95","49.90","BRANDON RCS","5010490","2019-02-11","2019","02","11","","-16.5","","-24.8","","-20.6","","38.6","","0.0","","","","","","0.7","","23","","6","","34",""
"-99.95","49.90","BRANDON RCS","5010490","2019-02-12","2019","02","12","","-14.1","","-23.6","","-18.9","","36.9","","0.0","","","","","","1.1","","25","","","","",""
"-99.95","49.90","BRANDON RCS","5010490","2019-02-13","2019","02","13","","-14.3","","-21.9","","-18.1","","36.1","","0.0","","","","","","1.8","","27","","","","",""
"-99.95","49.90","BRANDON RCS","5010490","2019-02-14","2019","02","14","","-17.4","","-27.6","","-22.5","","40.5","","0.0","","","","","","0.2","","28","","32","","39",""
"-99.95","49.90","BRANDON RCS","5010490","2019-02-15","2019","02","15","","-17.3","","-31.9","","-24.6","","42.6","","0.0","","","","","","0.0","","26","","","","",""
"-99.95","49.90","BRANDON RCS","5010490","2019-02-16","2019","02","16","","-14.8","","-28.0","","-21.4","","39.4","","0.0","","","","","","0.0","","26","","","","",""
"-99.95","49.90","BRANDON RCS","5010490","2019-02-17","2019","02","17","","-13.4","","-20.7","","-17.0","","35.0","","0.0","","","","","","0.0","","26","","","","",""
"-99.95","49.90","BRANDON RCS","5010490","2019-02-18","2019","02","18","","-16.0","","-27.2","","-21.6","","39.6","","0.0","","","","","","0.0","","26","","","","",""
"-99.95","49.90","BRANDON RCS","5010490","2019-02-19","2019","02","19","","-15.0","","-29.0","","-22.0","","40.0","","0.0","","","","","","0.0","","26","","","","",""
"-99.95","49.90","BRANDON RCS","5010490","2019-02-20","2019","02","20","","-11.0","","-27.4","","-19.2","","37.2","","0.0","","","","","","0.0","","26","","","","",""
"-99.95","49.90","BRANDON RCS","5010490","2019-02-21","2019","02","21","","-10.7","","-22.4","","-16.5","","34.5","","0.0","","","","","","0.2","","26","","","","",""
"-99.95","49.90","BRANDON RCS","5010490","2019-02-22","2019","02","22","","-14.5","","-25.9","","-20.2","","38.2","","0.0","","","","","","0.2","","26","","","","",""
"-99.95","49.90","BRANDON RCS","5010490","2019-02-23","2019","02","23","","-11.2","","-25.8","","-18.5","","36.5","","0.0","","","","","","0.0","","26","","33","","41",""
"-99.95","49.90","BRANDON RCS","5010490","2019-02-24","2019","02","24","","-13.3","","-28.9","","-21.1","","39.1","","0.0","","","","","","0.4","","24","","36","","47",""
"-99.95","49.90","BRANDON RCS","5010490","2019-02-25","2019","02","25","","-18.6","","-33.5","","-26.0","","44.0","","0.0","","","","","","0.0","","27","","","","",""
"-99.95","49.90","BRANDON RCS","5010490","2019-02-26","2019","02","26","","-17.3","","-31.7","","-24.5","","42.5","","0.0","","","","","","0.0","","27","","","","",""
"-99.95","49.90","BRANDON RCS","5010490","2019-02-27","2019","02","27","","-10.8","","-25.2","","-18.0","","36.0","","0.0","","","","","","0.0","","28","","25","","43",""
"-99.95","49.90","BRANDON RCS","5010490","2019-02-28","2019","02","28","","-11.0","","-20.0","","-15.5","","33.5","","0.0","","","","","","0.0","","28","","32","","38",""
"-99.95","49.90","BRANDON RCS","5010490","2019-03-01","2019","03","01","","-14.0","","-26.6","","-20.3","","38.3","","0.0","","","","","","0.0","","27","","","","",""
"-99.95","49.90","BRANDON RCS","5010490","2019-03-02","2019","03","02","","-19.0","","-28.9","","-24.0","","42.0","","0.0","","","","","","0.4","","27","","30","","40",""
"-99.95","49.90","BRANDON RCS","5010490","2019-03-03","2019","03","03","","-17.3","","-29.6","","-23.4","","41.4","","0.0","","","","","","0.0","","27","","30","","43",""
"-99.95","49.90","BRANDON RCS","5010490","2019-03-04","2019","03","04","","-10.7","","-19.3","","-15.0","","33.0","","0.0","","","","","","0.0","","27","","32","","46",""
"-99.95","49.90","BRANDON RCS","5010490","2019-03-05","2019","03","05","","-9.0","","-22.6","","-15.8","","33.8","","0.0","","","","","","0.0","","27","","","","",""
"-99.95","49.90","BRANDON RCS","5010490","2019-03-06","2019","03","06","","-12.2","","-25.1","","-18.7","","36.7","","0.0","","","","","","0.0","","27","","","","",""
"-99.95","49.90","BRANDON RCS","5010490","2019-03-07","2019","03","07","","-10.8","","-27.8","","-19.3","","37.3","","0.0","","","","","","0.2","","27","","","","",""
"-99.95","49.90","BRANDON RCS","5010490","2019-03-08","2019","03","08","","-5.2","","-11.8","","-8.5","","26.5","","0.0","","","","","","0.0","","27","","","","",""
"-99.95","49.90","BRANDON RCS","5010490","2019-03-09","2019","03","09","","-5.3","","-14.7","","-10.0","","28.0","","0.0","","","","","","0.0","","27","","30","","32",""
"-99.95","49.90","BRANDON RCS","5010490","2019-03-10","2019","03","10","","-6.9","","-20.0","","-13.4","","31.4","","0.0","","","","","","0.0","","27","","","","",""
"-99.95","49.90","BRANDON RCS","5010490","2019-03-11","2019","03","11","","-2.3","","-22.2","","-12.2","","30.2","","0.0","","","","","","0.0","","27","","23","","36",""
"-99.95","49.90","BRANDON RCS","5010490","2019-03-12","2019","03","12","","1.3","","-9.7","","-4.2","","22.2","","0.0","","","","","","0.0","","27","","","","",""
"-99.95","49.90","BRANDON RCS","5010490","2019-03-13","2019","03","13","","2.4","","-10.6","","-4.1","","22.1","","0.0","","","","","","0.0","","27","","36","","46",""
"-99.95","49.90","BRANDON RCS","5010490","2019-03-14","2019","03","14","","1.6","","-6.7","","-2.5","","20.5","","0.0","","","","","","0.0","","27","","2","","52",""
"-99.95","49.90","BRANDON RCS","5010490","2019-03-15","2019","03","15","","-1.8","","-13.9","","-7.8","","25.8","","0.0","","","","","","0.2","","27","","","","",""
"-99.95","49.90","BRANDON RCS","5010490","2019-03-16","2019","03","16","","0.7","","-19.1","","-9.2","","27.2","","0.0","","","","","","0.0","","27","","","","",""
"-99.95","49.90","BRANDON RCS","5010490","2019-03-17","2019","03","17","","1.3","","-11.5","","-5.1","","23.1","","0.0","","","","","","0.0","","27","","32","","36",""
"-99.95","49.90","BRANDON RCS","5010490","2019-03-18","2019","03","18","","2.1","","-10.6","","-4.3","","22.3","","0.0","","","","","","0.0","","26","","","","",""
"-99.95","49.90","BRANDON RCS","5010490","2019-03-19","2019","03","19","","3.7","","-8.8","","-2.5","","20.5","","0.0","","","","","","0.0","","25","","25","","39",""
"-99.95","49.90","BRANDON RCS","5010490","2019-03-20","2019","03","20","","5.6","","-5.4","","0.1","","17.9","","0.0","","","","","","0.0","","22","","","","",""
"-99.95","49.90","BRANDON RCS","5010490","2019-03-21","2019","03","21","","7.7","","-4.0","","1.8","","16.2","","0.0","","","","","","0.0","","18","","","","",""
"-99.95","49.90","BRANDON RCS","5010490","2019-03-22","2019","03","22","","6.5","","-8.0","","-0.7","","18.7","","0.0","","","","","","0.0","","10","","","","",""
"-99.95","49.90","BRANDON RCS","5010490","2019-03-23","2019","03","23","","7.6","","-5.9","","0.9","","17.1","","0.0","","","","","","0.0","","3","","5","","56",""
"-99.95","49.90","BRANDON RCS","5010490","2019-03-24","2019","03","24","","-3.7","","-11.7","","-7.7","","25.7","","0.0","","","","","","0.0","","2","","6","","48",""
"-99.95","49.90","BRANDON RCS","5010490","2019-03-25","2019","03","25","","0.1","","-13.2","","-6.6","","24.6","","0.0","","","","","","0.2","","2","","","","",""
"-99.95","49.90","BRANDON RCS","5010490","2019-03-26","2019","03","26","","5.1","","-4.4","","0.4","","17.6","","0.0","","","","","","0.0","","2","","","","",""
"-99.95","49.90","BRANDON RCS","5010490","2019-03-27","2019","03","27","","6.7","","-1.5","","2.6","","15.4","","0.0","","","","","","0.0","","0","","29","","47",""
"-99.95","49.90","BRANDON RCS","5010490","2019-03-28","2019","03","28","","3.3","","-3.8","","-0.2","","18.2","","0.0","","","","","","0.0","","0","","31","","33",""
"-99.95","49.90","BRANDON RCS","5010490","2019-03-29","2019","03","29","","4.8","","-5.6","","-0.4","","18.4","","0.0","","","","","","0.0","","0","","34","","51",""
"-99.95","49.90","BRANDON RCS","5010490","2019-03-30","2019","03","30","","3.1","","-7.8","","-2.4","","20.4","","0.0","","","","","","0.0","","0","","","","",""
"-99.95","49.90","BRANDON RCS","5010490","2019-03-31","2019","03","31","","4.3","","-2.5","","0.9","","17.1","","0.0","","","","","","0.0","","0","","","","",""
"-99.95","49.90","BRANDON RCS","5010490","2019-04-01","2019","04","01","","6.9","","-3.4","","1.7","","16.3","","0.0","","","","","","0.0","","0","","29","","48",""
"-99.95","49.90","BRANDON RCS","5010490","2019-04-02","2019","04","02","","1.3","","-4.2","","-1.4","","19.4","","0.0","","","","","","0.0","","0","","30","","65",""
"-99.95","49.90","BRANDON RCS","5010490","2019-04-03","2019","04","03","","3.5","","-7.0","","-1.7","","19.7","","0.0","","","","","","0.0","","0","","","","",""
"-99.95","49.90","BRANDON RCS","5010490","2019-04-04","2019","04","04","","10.4","","-1.7","","4.4","","13.6","","0.0","","","","","","8.2","","0","","18","","40",""
"-99.95","49.90","BRANDON RCS","5010490","2019-04-05","2019","04","05","","3.5","","-3.0","","0.3","","17.7","","0.0","","","","","","0.2","","0","","5","","31",""
