"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-112.00","58.85","SWEETGRASS LANDING","3076330","2022-01-01","2022","01","01","","","","","","","","","","","","","","","","","","","","","M","","M"
"-112.00","58.85","SWEETGRASS LANDING","3076330","2022-01-02","2022","01","02","","","","","","","","","","","","","","","","","","","","35","","35",""
"-112.00","58.85","SWEETGRASS LANDING","3076330","2022-01-03","2022","01","03","","","","","","","","","","","","","","","","","","","","","M","","M"
"-112.00","58.85","SWEETGRASS LANDING","3076330","2022-01-04","2022","01","04","","","","","","","","","","","","","","","","","","","","","M","","M"
"-112.00","58.85","SWEETGRASS LANDING","3076330","2022-01-05","2022","01","05","","","","","","","","","","","","","","","","","","","","","M","","M"
"-112.00","58.85","SWEETGRASS LANDING","3076330","2022-01-06","2022","01","06","","","","","","","","","","","","","","","","","","","","","M","","M"
"-112.00","58.85","SWEETGRASS LANDING","3076330","2022-01-07","2022","01","07","","","","","","","","","","","","","","","","","","","","","","",""
"-112.00","58.85","SWEETGRASS LANDING","3076330","2022-01-08","2022","01","08","","","","","","","","","","","","","","","","","","","","","M","","M"
"-112.00","58.85","SWEETGRASS LANDING","3076330","2022-01-09","2022","01","09","","","","","","","","","","","","","","","","","","","","","M","","M"
"-112.00","58.85","SWEETGRASS LANDING","3076330","2022-01-10","2022","01","10","","","","","","","","","","","","","","","","","","","","","","",""
"-112.00","58.85","SWEETGRASS LANDING","3076330","2022-01-11","2022","01","11","","","","","","","","","","","","","","","","","","","","","","",""
"-112.00","58.85","SWEETGRASS LANDING","3076330","2022-01-12","2022","01","12","","","","","","","","","","","","","","","","","","","","","","",""
"-112.00","58.85","SWEETGRASS LANDING","3076330","2022-01-13","2022","01","13","","","","","","","","","","","","","","","","","","","","","M","","M"
"-112.00","58.85","SWEETGRASS LANDING","3076330","2022-01-14","2022","01","14","","","","","","","","","","","","","","","","","","","","18","","50",""
"-112.00","58.85","SWEETGRASS LANDING","3076330","2022-01-15","2022","01","15","","","","","","","","","","","","","","","","","","","","35","","36",""
"-112.00","58.85","SWEETGRASS LANDING","3076330","2022-01-16","2022","01","16","","","","","","","","","","","","","","","","","","","","","","",""
"-112.00","58.85","SWEETGRASS LANDING","3076330","2022-01-17","2022","01","17","","","","","","","","","","","","","","","","","","","","","M","","M"
"-112.00","58.85","SWEETGRASS LANDING","3076330","2022-01-18","2022","01","18","","","","","","","","","","","","","","","","","","","","","M","","M"
"-112.00","58.85","SWEETGRASS LANDING","3076330","2022-01-19","2022","01","19","","","","","","","","","","","","","","","","","","","","","M","","M"
"-112.00","58.85","SWEETGRASS LANDING","3076330","2022-01-20","2022","01","20","","","","","","","","","","","","","","","","","","","","28","","45",""
"-112.00","58.85","SWEETGRASS LANDING","3076330","2022-01-21","2022","01","21","","","","","","","","","","","","","","","","","","","","29","","42",""
"-112.00","58.85","SWEETGRASS LANDING","3076330","2022-01-22","2022","01","22","","","","","","","","","","","","","","","","","","","","","","",""
"-112.00","58.85","SWEETGRASS LANDING","3076330","2022-01-23","2022","01","23","","","","","","","","","","","","","","","","","","","","","","",""
"-112.00","58.85","SWEETGRASS LANDING","3076330","2022-01-24","2022","01","24","","","","","","","","","","","","","","","","","","","","","M","","M"
"-112.00","58.85","SWEETGRASS LANDING","3076330","2022-01-25","2022","01","25","","","","","","","","","","","","","","","","","","","","34","","48",""
"-112.00","58.85","SWEETGRASS LANDING","3076330","2022-01-26","2022","01","26","","","","","","","","","","","","","","","","","","","","36","","46",""
"-112.00","58.85","SWEETGRASS LANDING","3076330","2022-01-27","2022","01","27","","","","","","","","","","","","","","","","","","","","","","",""
"-112.00","58.85","SWEETGRASS LANDING","3076330","2022-01-28","2022","01","28","","","","","","","","","","","","","","","","","","","","","","",""
"-112.00","58.85","SWEETGRASS LANDING","3076330","2022-01-29","2022","01","29","","","","","","","","","","","","","","","","","","","","","","",""
"-112.00","58.85","SWEETGRASS LANDING","3076330","2022-01-30","2022","01","30","","","","","","","","","","","","","","","","","","","","35","","31",""
"-112.00","58.85","SWEETGRASS LANDING","3076330","2022-01-31","2022","01","31","","","","","","","","","","","","","","","","","","","","35","","35",""
"-112.00","58.85","SWEETGRASS LANDING","3076330","2022-02-01","2022","02","01","","","","","","","","","","","","","","","","","","","","","M","","M"
"-112.00","58.85","SWEETGRASS LANDING","3076330","2022-02-02","2022","02","02","","","","","","","","","","","","","","","","","","","","","M","","M"
"-112.00","58.85","SWEETGRASS LANDING","3076330","2022-02-03","2022","02","03","","","","","","","","","","","","","","","","","","","","","M","","M"
"-112.00","58.85","SWEETGRASS LANDING","3076330","2022-02-04","2022","02","04","","","","","","","","","","","","","","","","","","","","","M","","M"
"-112.00","58.85","SWEETGRASS LANDING","3076330","2022-02-05","2022","02","05","","","","","","","","","","","","","","","","","","","","","","",""
"-112.00","58.85","SWEETGRASS LANDING","3076330","2022-02-06","2022","02","06","","","","","","","","","","","","","","","","","M","","","21","","39",""
"-112.00","58.85","SWEETGRASS LANDING","3076330","2022-02-07","2022","02","07","","","","","","","","","","","","","","","","","M","","","1","","57",""
"-112.00","58.85","SWEETGRASS LANDING","3076330","2022-02-08","2022","02","08","","","","","","","","","","","","","","","","","","","","","","",""
"-112.00","58.85","SWEETGRASS LANDING","3076330","2022-02-09","2022","02","09","","","","","","","","","","","","","","","","","","","","","","",""
"-112.00","58.85","SWEETGRASS LANDING","3076330","2022-02-10","2022","02","10","","","","","","","","","","","","","","","","","","","","","","",""
"-112.00","58.85","SWEETGRASS LANDING","3076330","2022-02-11","2022","02","11","","","","","","","","","","","","","","","","","","","","","","",""
"-112.00","58.85","SWEETGRASS LANDING","3076330","2022-02-12","2022","02","12","","","","","","","","","","","","","","","","","","","","","M","","M"
"-112.00","58.85","SWEETGRASS LANDING","3076330","2022-02-13","2022","02","13","","","","","","","","","","","","","","","","","","","","","","",""
"-112.00","58.85","SWEETGRASS LANDING","3076330","2022-02-14","2022","02","14","","","","","","","","","","","","","","","","","","","","","M","","M"
"-112.00","58.85","SWEETGRASS LANDING","3076330","2022-02-15","2022","02","15","","","","","","","","","","","","","","","","","","","","","M","","M"
"-112.00","58.85","SWEETGRASS LANDING","3076330","2022-02-16","2022","02","16","","","","","","","","","","","","","","","","","","","","","M","","M"
"-112.00","58.85","SWEETGRASS LANDING","3076330","2022-02-17","2022","02","17","","","","","","","","","","","","","","","","","","","","","M","","M"
"-112.00","58.85","SWEETGRASS LANDING","3076330","2022-02-18","2022","02","18","","","","","","","","","","","","","","","","","","","","","","",""
"-112.00","58.85","SWEETGRASS LANDING","3076330","2022-02-19","2022","02","19","","","","","","","","","","","","","","","","","","","","2","","34",""
"-112.00","58.85","SWEETGRASS LANDING","3076330","2022-02-20","2022","02","20","","","","","","","","","","","","","","","","","","","","","M","","M"
"-112.00","58.85","SWEETGRASS LANDING","3076330","2022-02-21","2022","02","21","","","","","","","","","","","","","","","","","","","","","M","","M"
"-112.00","58.85","SWEETGRASS LANDING","3076330","2022-02-22","2022","02","22","","","","","","","","","","","","","","","","","","","","","","",""
"-112.00","58.85","SWEETGRASS LANDING","3076330","2022-02-23","2022","02","23","","","","","","","","","","","","","","","","","","","","","M","","M"
"-112.00","58.85","SWEETGRASS LANDING","3076330","2022-02-24","2022","02","24","","","","","","","","","","","","","","","","","","","","","","",""
"-112.00","58.85","SWEETGRASS LANDING","3076330","2022-02-25","2022","02","25","","","","","","","","","","","","","","","","","","","","1","","46",""
"-112.00","58.85","SWEETGRASS LANDING","3076330","2022-02-26","2022","02","26","","","","","","","","","","","","","","","","","","","","","","",""
"-112.00","58.85","SWEETGRASS LANDING","3076330","2022-02-27","2022","02","27","","","","","","","","","","","","","","","","","","","","","","",""
"-112.00","58.85","SWEETGRASS LANDING","3076330","2022-02-28","2022","02","28","","","","","","","","","","","","","","","","","","","","","","",""
"-112.00","58.85","SWEETGRASS LANDING","3076330","2022-03-01","2022","03","01","","","","","","","","","","","","","","","","","","","","","M","","M"
"-112.00","58.85","SWEETGRASS LANDING","3076330","2022-03-02","2022","03","02","","","","","","","","","","","","","","","","","","","","","M","","M"
"-112.00","58.85","SWEETGRASS LANDING","3076330","2022-03-03","2022","03","03","","","","","","","","","","","","","","","","","","","","","","",""
"-112.00","58.85","SWEETGRASS LANDING","3076330","2022-03-04","2022","03","04","","","","","","","","","","","","","","","","","","","","8","","34",""
"-112.00","58.85","SWEETGRASS LANDING","3076330","2022-03-05","2022","03","05","","","","","","","","","","","","","","","","","","","","","","",""
"-112.00","58.85","SWEETGRASS LANDING","3076330","2022-03-06","2022","03","06","","","","","","","","","","","","","","","","","M","","","19","","40",""
"-112.00","58.85","SWEETGRASS LANDING","3076330","2022-03-07","2022","03","07","","","","","","","","","","","","","","","","","M","","","34","","74",""
"-112.00","58.85","SWEETGRASS LANDING","3076330","2022-03-08","2022","03","08","","","","","","","","","","","","","","","","","","","","36","","31",""
"-112.00","58.85","SWEETGRASS LANDING","3076330","2022-03-09","2022","03","09","","","","","","","","","","","","","","","","","","","","4","","42",""
"-112.00","58.85","SWEETGRASS LANDING","3076330","2022-03-10","2022","03","10","","","","","","","","","","","","","","","","","","","","1","","36",""
"-112.00","58.85","SWEETGRASS LANDING","3076330","2022-03-11","2022","03","11","","","","","","","","","","","","","","","","","","","","","","",""
"-112.00","58.85","SWEETGRASS LANDING","3076330","2022-03-12","2022","03","12","","","","","","","","","","","","","","","","","","","","","","",""
"-112.00","58.85","SWEETGRASS LANDING","3076330","2022-03-13","2022","03","13","","","","","","","","","","","","","","","","","","","","","","",""
"-112.00","58.85","SWEETGRASS LANDING","3076330","2022-03-14","2022","03","14","","","","","","","","","","","","","","","","","","","","","","",""
"-112.00","58.85","SWEETGRASS LANDING","3076330","2022-03-15","2022","03","15","","","","","","","","","","","","","","","","","","","","","M","","M"
"-112.00","58.85","SWEETGRASS LANDING","3076330","2022-03-16","2022","03","16","","","","","","","","","","","","","","","","","","","","","M","","M"
"-112.00","58.85","SWEETGRASS LANDING","3076330","2022-03-17","2022","03","17","","","","","","","","","","","","","","","","","M","","","","","",""
"-112.00","58.85","SWEETGRASS LANDING","3076330","2022-03-18","2022","03","18","","","","","","","","","","","","","","","","","M","","","","","",""
"-112.00","58.85","SWEETGRASS LANDING","3076330","2022-03-19","2022","03","19","","","","","","","","","","","","","","","","","M","","","","","",""
"-112.00","58.85","SWEETGRASS LANDING","3076330","2022-03-20","2022","03","20","","","","","","","","","","","","","","","","","M","","","","","",""
"-112.00","58.85","SWEETGRASS LANDING","3076330","2022-03-21","2022","03","21","","","","","","","","","","","","","","","","","M","","","","","",""
"-112.00","58.85","SWEETGRASS LANDING","3076330","2022-03-22","2022","03","22","","","","","","","","","","","","","","","","","M","","","","","",""
"-112.00","58.85","SWEETGRASS LANDING","3076330","2022-03-23","2022","03","23","","","","","","","","","","","","","","","","","M","","","36","","49",""
"-112.00","58.85","SWEETGRASS LANDING","3076330","2022-03-24","2022","03","24","","","","","","","","","","","","","","","","","","","","30","","51",""
"-112.00","58.85","SWEETGRASS LANDING","3076330","2022-03-25","2022","03","25","","","","","","","","","","","","","","","","","","","","","","",""
"-112.00","58.85","SWEETGRASS LANDING","3076330","2022-03-26","2022","03","26","","","","","","","","","","","","","","","","","","","","","","",""
"-112.00","58.85","SWEETGRASS LANDING","3076330","2022-03-27","2022","03","27","","","","","","","","","","","","","","","","","","","","","","",""
"-112.00","58.85","SWEETGRASS LANDING","3076330","2022-03-28","2022","03","28","","","","","","","","","","","","","","","","","M","","","","","",""
"-112.00","58.85","SWEETGRASS LANDING","3076330","2022-03-29","2022","03","29","","","","","","","","","","","","","","","","","M","","","","","",""
"-112.00","58.85","SWEETGRASS LANDING","3076330","2022-03-30","2022","03","30","","","","","","","","","","","","","","","","","M","","","1","","39",""
"-112.00","58.85","SWEETGRASS LANDING","3076330","2022-03-31","2022","03","31","","","","","","","","","","","","","","","","","","","","36","","46",""
"-112.00","58.85","SWEETGRASS LANDING","3076330","2022-04-01","2022","04","01","","","","","","","","","","","","","","","","","","","","34","","33",""
"-112.00","58.85","SWEETGRASS LANDING","3076330","2022-04-02","2022","04","02","","","","","","","","","","","","","","","","","","","","","","",""
"-112.00","58.85","SWEETGRASS LANDING","3076330","2022-04-03","2022","04","03","","","","","","","","","","","","","","","","","M","","","","","",""
"-112.00","58.85","SWEETGRASS LANDING","3076330","2022-04-04","2022","04","04","","","","","","","","","","","","","","","","","M","","","11","","33",""
"-112.00","58.85","SWEETGRASS LANDING","3076330","2022-04-05","2022","04","05","","","","","","","","","","","","","","","","","M","","","","","",""
"-112.00","58.85","SWEETGRASS LANDING","3076330","2022-04-06","2022","04","06","","","","","","","","","","","","","","","","","M","","","","M","","M"
"-112.00","58.85","SWEETGRASS LANDING","3076330","2022-04-07","2022","04","07","","","","","","","","","","","","","","","","","M","","","","","",""
"-112.00","58.85","SWEETGRASS LANDING","3076330","2022-04-08","2022","04","08","","","","","","","","","","","","","","","","0.0","","","","","","",""
"-112.00","58.85","SWEETGRASS LANDING","3076330","2022-04-09","2022","04","09","","","","","","","","","","","","","","","","","M","","","36","","72",""
