"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-84.79","47.97","WAWA A","6059407","2018-09-01 00:00","2018","09","01","00:00"
"-84.79","47.97","WAWA A","6059407","2018-09-01 01:00","2018","09","01","01:00"
"-84.79","47.97","WAWA A","6059407","2018-09-01 02:00","2018","09","01","02:00"
"-84.79","47.97","WAWA A","6059407","2018-09-01 03:00","2018","09","01","03:00"
"-84.79","47.97","WAWA A","6059407","2018-09-01 04:00","2018","09","01","04:00"
"-84.79","47.97","WAWA A","6059407","2018-09-01 05:00","2018","09","01","05:00"
"-84.79","47.97","WAWA A","6059407","2018-09-01 06:00","2018","09","01","06:00","17.0","","17.0","","100","","","","23","","14","","16.1","","97.80","","","","","","Rain Showers"
"-84.79","47.97","WAWA A","6059407","2018-09-01 07:00","2018","09","01","07:00","17.0","","16.9","","100","","","","32","","7","","24.1","","97.73","","","","","","Mostly Cloudy"
"-84.79","47.97","WAWA A","6059407","2018-09-01 08:00","2018","09","01","08:00","17.3","","17.3","","100","","","","19","","5","","24.1","","97.84","","","","","","NA"
"-84.79","47.97","WAWA A","6059407","2018-09-01 09:00","2018","09","01","09:00","17.2","","17.2","","100","","","","22","","7","","16.1","","97.99","","","","","","Thunderstorms,Rain Showers"
"-84.79","47.97","WAWA A","6059407","2018-09-01 10:00","2018","09","01","10:00","17.6","","17.1","","97","","","","10","","12","","2.4","","97.78","","","","","","Thunderstorms,Rain Showers,Fog"
"-84.79","47.97","WAWA A","6059407","2018-09-01 11:00","2018","09","01","11:00","18.3","","18.3","","100","","","","30","","4","","4.0","","97.86","","","","","","Rain Showers,Fog"
"-84.79","47.97","WAWA A","6059407","2018-09-01 12:00","2018","09","01","12:00","20.0","","19.9","","100","","","","17","","4","","12.9","","97.81","","27","","","","NA"
"-84.79","47.97","WAWA A","6059407","2018-09-01 13:00","2018","09","01","13:00","19.5","","19.5","","100","","","","22","","5","","2.4","","97.83","","","","","","Fog"
"-84.79","47.97","WAWA A","6059407","2018-09-01 14:00","2018","09","01","14:00","19.2","","19.2","","100","","","","21","","13","","1.6","","97.86","","","","","","Rain,Fog"
"-84.79","47.97","WAWA A","6059407","2018-09-01 15:00","2018","09","01","15:00","19.3","","19.3","","100","","","","21","","9","","1.2","","97.81","","","","","","Fog"
"-84.79","47.97","WAWA A","6059407","2018-09-01 16:00","2018","09","01","16:00","18.6","","18.6","","100","","","","24","","5","","1.2","","97.85","","","","","","Fog"
"-84.79","47.97","WAWA A","6059407","2018-09-01 17:00","2018","09","01","17:00","18.3","","18.3","","100","","","","24","","10","","1.2","","97.86","","","","","","Fog"
"-84.79","47.97","WAWA A","6059407","2018-09-01 18:00","2018","09","01","18:00","17.9","","17.9","","100","","","","23","","7","","0.4","","97.92","","","","","","Fog"
"-84.79","47.97","WAWA A","6059407","2018-09-01 19:00","2018","09","01","19:00","17.9","","17.9","","100","","","","22","","7","","0.2","","97.95","","","","","","Fog"
"-84.79","47.97","WAWA A","6059407","2018-09-01 20:00","2018","09","01","20:00"
"-84.79","47.97","WAWA A","6059407","2018-09-01 21:00","2018","09","01","21:00"
"-84.79","47.97","WAWA A","6059407","2018-09-01 22:00","2018","09","01","22:00"
"-84.79","47.97","WAWA A","6059407","2018-09-01 23:00","2018","09","01","23:00"
"-84.79","47.97","WAWA A","6059407","2018-09-02 00:00","2018","09","02","00:00"
"-84.79","47.97","WAWA A","6059407","2018-09-02 01:00","2018","09","02","01:00"
"-84.79","47.97","WAWA A","6059407","2018-09-02 02:00","2018","09","02","02:00"
"-84.79","47.97","WAWA A","6059407","2018-09-02 03:00","2018","09","02","03:00"
"-84.79","47.97","WAWA A","6059407","2018-09-02 04:00","2018","09","02","04:00"
"-84.79","47.97","WAWA A","6059407","2018-09-02 05:00","2018","09","02","05:00"
"-84.79","47.97","WAWA A","6059407","2018-09-02 06:00","2018","09","02","06:00","18.5","","18.5","","100","","","","36","","2","","0.8","","98.10","","","","","","Fog"
"-84.79","47.97","WAWA A","6059407","2018-09-02 07:00","2018","09","02","07:00","18.5","","18.5","","100","","","","29","","3","","0.8","","98.12","","","","","","Fog"
"-84.79","47.97","WAWA A","6059407","2018-09-02 08:00","2018","09","02","08:00","18.2","","18.2","","100","","","","31","","4","","0.2","","98.14","","","","","","Fog"
"-84.79","47.97","WAWA A","6059407","2018-09-02 09:00","2018","09","02","09:00","18.1","","18.1","","100","","","","23","","4","","0.2","","98.15","","","","","","Fog"
"-84.79","47.97","WAWA A","6059407","2018-09-02 10:00","2018","09","02","10:00","18.5","","18.5","","100","","","","21","","9","","0.4","","98.15","","","","","","Fog"
"-84.79","47.97","WAWA A","6059407","2018-09-02 11:00","2018","09","02","11:00","19.3","","19.3","","100","","","","22","","7","","0.8","","98.09","","","","","","Fog"
"-84.79","47.97","WAWA A","6059407","2018-09-02 12:00","2018","09","02","12:00","19.7","","19.7","","100","","","","24","","5","","3.6","","98.01","","","","","","Fog"
"-84.79","47.97","WAWA A","6059407","2018-09-02 13:00","2018","09","02","13:00","19.4","","19.4","","100","","","","26","","5","","2.4","","97.94","","","","","","Fog"
