"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-60.22","55.45","HOPEDALE (AUT)","8502400","2023-01-01","2023","01","01","","-2.7","","-7.7","","-5.2","","23.2","","0.0","","","","","","13.1","","","","","M","","M"
"-60.22","55.45","HOPEDALE (AUT)","8502400","2023-01-02","2023","01","02","","-4.0","","-12.8","","-8.4","","26.4","","0.0","","","","","","","M","","","","M","","M"
"-60.22","55.45","HOPEDALE (AUT)","8502400","2023-01-03","2023","01","03","","-8.7","","-13.5","","-11.1","","29.1","","0.0","","","","","","","M","","","","M","","M"
"-60.22","55.45","HOPEDALE (AUT)","8502400","2023-01-04","2023","01","04","","-9.0","","-15.8","","-12.4","","30.4","","0.0","","","","","","","M","","","","M","","M"
"-60.22","55.45","HOPEDALE (AUT)","8502400","2023-01-05","2023","01","05","","-13.2","","-18.5","","-15.9","","33.9","","0.0","","","","","","","M","","","","M","","M"
"-60.22","55.45","HOPEDALE (AUT)","8502400","2023-01-06","2023","01","06","","","M","","M","","M","","M","","M","","","","","","M","","","","M","","M"
"-60.22","55.45","HOPEDALE (AUT)","8502400","2023-01-07","2023","01","07","","-10.5","","-14.3","","-12.4","","30.4","","0.0","","","","","","","M","","","","M","","M"
"-60.22","55.45","HOPEDALE (AUT)","8502400","2023-01-08","2023","01","08","","-12.5","","-20.5","","-16.5","","34.5","","0.0","","","","","","","M","","","","M","","M"
"-60.22","55.45","HOPEDALE (AUT)","8502400","2023-01-09","2023","01","09","","-11.7","","-24.1","","-17.9","","35.9","","0.0","","","","","","","M","","","","M","","M"
"-60.22","55.45","HOPEDALE (AUT)","8502400","2023-01-10","2023","01","10","","-12.8","","-19.6","","-16.2","","34.2","","0.0","","","","","","","M","","","","M","","M"
"-60.22","55.45","HOPEDALE (AUT)","8502400","2023-01-11","2023","01","11","","-3.7","","-18.4","","-11.0","","29.0","","0.0","","","","","","","M","","","","M","","M"
"-60.22","55.45","HOPEDALE (AUT)","8502400","2023-01-12","2023","01","12","","-5.6","","-16.9","","-11.2","","29.2","","0.0","","","","","","","M","","","","M","","M"
"-60.22","55.45","HOPEDALE (AUT)","8502400","2023-01-13","2023","01","13","","-11.5","","-22.3","","-16.9","","34.9","","0.0","","","","","","","M","","","","M","","M"
"-60.22","55.45","HOPEDALE (AUT)","8502400","2023-01-14","2023","01","14","","-17.3","","-23.2","","-20.3","","38.3","","0.0","","","","","","","M","","","","M","","M"
