"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-62.59","58.48","SAGLEK","8503249","2018-07-01 00:00","2018","07","01","00:00","1.8","","-3.5","","68","","","","","M","","M","","M","94.54","","","","","","NA"
"-62.59","58.48","SAGLEK","8503249","2018-07-01 01:00","2018","07","01","01:00","2.0","","-3.2","","69","","","","","M","","M","","M","94.61","","","","","","NA"
"-62.59","58.48","SAGLEK","8503249","2018-07-01 02:00","2018","07","01","02:00","2.1","","-3.3","","67","","","","","M","","M","","M","94.70","","","","","","NA"
"-62.59","58.48","SAGLEK","8503249","2018-07-01 03:00","2018","07","01","03:00","2.3","","-3.0","","68","","","","","M","","M","","M","94.78","","","","","","NA"
"-62.59","58.48","SAGLEK","8503249","2018-07-01 04:00","2018","07","01","04:00","1.4","","-2.5","","75","","","","","M","","M","","M","94.87","","","","","","NA"
"-62.59","58.48","SAGLEK","8503249","2018-07-01 05:00","2018","07","01","05:00","1.7","","-1.8","","77","","","","","M","","M","","M","94.91","","","","","","NA"
"-62.59","58.48","SAGLEK","8503249","2018-07-01 06:00","2018","07","01","06:00","3.1","","-1.7","","70","","","","","M","","M","","M","94.96","","","","","","NA"
"-62.59","58.48","SAGLEK","8503249","2018-07-01 07:00","2018","07","01","07:00","4.5","","-1.6","","65","","","","","M","","M","","M","95.01","","","","","","NA"
"-62.59","58.48","SAGLEK","8503249","2018-07-01 08:00","2018","07","01","08:00","5.5","","-1.6","","60","","","","","M","","M","","M","95.08","","","","","","NA"
"-62.59","58.48","SAGLEK","8503249","2018-07-01 09:00","2018","07","01","09:00","5.7","","-1.7","","59","","","","","M","","M","","M","95.09","","","","","","NA"
"-62.59","58.48","SAGLEK","8503249","2018-07-01 10:00","2018","07","01","10:00","6.1","","-0.9","","61","","","","","M","","M","","M","95.11","","","","","","NA"
"-62.59","58.48","SAGLEK","8503249","2018-07-01 11:00","2018","07","01","11:00","6.5","","-0.7","","60","","","","","M","","M","","M","95.11","","","","","","NA"
"-62.59","58.48","SAGLEK","8503249","2018-07-01 12:00","2018","07","01","12:00","6.9","","-0.8","","58","","","","","M","","M","","M","95.19","","","","","","NA"
"-62.59","58.48","SAGLEK","8503249","2018-07-01 13:00","2018","07","01","13:00","5.4","","-1.0","","64","","","","","M","","M","","M","95.29","","","","","","NA"
"-62.59","58.48","SAGLEK","8503249","2018-07-01 14:00","2018","07","01","14:00","7.6","","-0.7","","56","","","","","M","","M","","M","95.37","","","","","","NA"
"-62.59","58.48","SAGLEK","8503249","2018-07-01 15:00","2018","07","01","15:00","7.1","","-0.9","","57","","","","","M","","M","","M","95.45","","","","","","NA"
"-62.59","58.48","SAGLEK","8503249","2018-07-01 16:00","2018","07","01","16:00","7.6","","-0.9","","55","","","","","M","","M","","M","95.51","","","","","","NA"
"-62.59","58.48","SAGLEK","8503249","2018-07-01 17:00","2018","07","01","17:00","7.3","","-0.9","","56","","","","","M","","M","","M","95.56","","","","","","NA"
"-62.59","58.48","SAGLEK","8503249","2018-07-01 18:00","2018","07","01","18:00","5.6","","-1.1","","62","","","","","M","","M","","M","95.61","","","","","","NA"
"-62.59","58.48","SAGLEK","8503249","2018-07-01 19:00","2018","07","01","19:00","4.7","","-1.4","","65","","","","","M","","M","","M","95.67","","","","","","NA"
"-62.59","58.48","SAGLEK","8503249","2018-07-01 20:00","2018","07","01","20:00","4.1","","-1.6","","67","","","","","M","","M","","M","95.72","","","","","","NA"
"-62.59","58.48","SAGLEK","8503249","2018-07-01 21:00","2018","07","01","21:00","3.8","","-1.9","","66","","","","","M","","M","","M","95.77","","","","","","NA"
"-62.59","58.48","SAGLEK","8503249","2018-07-01 22:00","2018","07","01","22:00","3.3","","-2.2","","67","","","","","M","","M","","M","95.76","","","","","","NA"
"-62.59","58.48","SAGLEK","8503249","2018-07-01 23:00","2018","07","01","23:00","3.1","","-2.3","","68","","","","","M","","M","","M","95.77","","","","","","NA"
"-62.59","58.48","SAGLEK","8503249","2018-07-02 00:00","2018","07","02","00:00","3.1","","-2.1","","68","","","","","M","","M","","M","95.75","","","","","","NA"
"-62.59","58.48","SAGLEK","8503249","2018-07-02 01:00","2018","07","02","01:00","1.7","","-1.6","","79","","","","","M","","M","","M","95.73","","","","","","NA"
"-62.59","58.48","SAGLEK","8503249","2018-07-02 02:00","2018","07","02","02:00","0.9","","-1.2","","86","","","","","M","","M","","M","95.73","","","","","","NA"
"-62.59","58.48","SAGLEK","8503249","2018-07-02 03:00","2018","07","02","03:00","1.3","","-1.0","","85","","","","","M","","M","","M","95.71","","","","","","NA"
"-62.59","58.48","SAGLEK","8503249","2018-07-02 04:00","2018","07","02","04:00","1.9","","-1.2","","80","","","","","M","","M","","M","95.68","","","","","","NA"
"-62.59","58.48","SAGLEK","8503249","2018-07-02 05:00","2018","07","02","05:00","3.4","","-1.5","","70","","","","","M","","M","","M","95.66","","","","","","NA"
